District,Location,pH,EC,TDS,CO3,HCO3,CI,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,Fe,SAR
Ahmedabad,Barvala,7.69,4781.0,3203.0,0.0,1342.0,780.0,17.0,270.0,3.25,1100.0,40.0,48.0,300.0,1020.0,0.4,,25.6
Ahmedabad,Dhandhuka1,7.56,790.0,529.0,0.0,354.0,43.0,12.0,36.0,2.2,290.0,24.0,10.0,100.0,140.0,17.2,,6.09
Ahmedabad,Gamph,7.9,2550.0,1709.0,0.0,781.0,461.0,16.0,10.0,0.25,640.0,28.0,72.0,370.0,416.0,37.0,,9.4
Ahmedabad,Tagadi1,7.8,1492.0,1000.0,0.0,439.0,191.0,17.0,15.0,1.75,360.0,32.0,31.0,210.0,210.0,5.2,,6.3
Ahmedabad,Dalod,7.73,14520.0,9728.0,0.0,1232.0,4361.0,45.0,439.0,3.1,1010.0,180.0,216.0,1350.0,2940.0,33.0,0.4,34.79
Ahmedabad,Mandal2,8.06,3581.0,2399.0,0.0,573.0,922.0,10.0,18.0,0.54,470.0,140.0,96.0,750.0,490.0,6.9,0.1,7.78
Ahmedabad,Kundali,7.42,875.0,586.0,0.0,378.0,85.0,24.0,5.0,0.45,310.0,36.0,36.0,240.0,100.0,0.4,,2.81
Ahmedabad,Rajpada,8.2,2884.0,1932.0,0.0,537.0,567.0,250.0,91.0,0.43,440.0,200.0,168.0,1200.0,160.0,4.5,,2.01
Ahmedabad,Endla,7.92,698.0,468.0,0.0,317.0,35.0,2.0,37.0,0.5,260.0,28.0,38.0,230.0,56.0,9.5,,1.61
Ahmedabad,Kumarkhan,8.1,9840.0,6593.0,0.0,1000.0,2730.0,46.0,628.0,2.4,820.0,120.0,216.0,1200.0,1940.0,25.0,,24.35
Ahmedabad,Viramgam2,7.59,5050.0,3384.0,0.0,512.0,1383.0,4.0,198.0,0.8,420.0,120.0,84.0,650.0,900.0,9.5,,15.35
Amreli,Govadka,7.9,1872.0,1254.0,0.0,268.0,419.0,26.0,81.0,0.15,220.0,68.0,80.0,500.0,195.0,11.6,,3.79
Amreli,Vankiya,8.2,1150.0,771.0,0.0,415.0,92.0,145.0,2.0,0.2,340.0,68.0,56.0,400.0,88.0,0.3,,1.91
Amreli,Untvad,8.0,995.0,667.0,0.0,305.0,71.0,170.0,2.0,0.26,250.0,92.0,34.0,370.0,56.0,0.2,,1.27
Amreli,Bagasara,7.9,2960.0,1983.0,0.0,439.0,639.0,200.0,72.0,0.45,360.0,120.0,161.0,960.0,253.0,0.0,,3.55
Amreli,Vaghania juna,8.2,1324.0,887.0,0.0,598.0,114.0,18.0,31.0,0.9,490.0,28.0,27.0,180.0,240.0,6.7,0.0,7.78
Amreli,Chalala,8.2,620.0,415.0,0.0,268.0,71.0,3.0,12.0,0.1,220.0,52.0,24.0,230.0,49.0,2.3,,1.4
Amreli,Dharangani,7.8,1790.0,1199.0,0.0,329.0,362.0,110.0,41.0,0.2,270.0,80.0,71.0,490.0,197.0,0.3,,3.87
Amreli,Kerala,8.2,1850.0,1240.0,0.0,622.0,249.0,36.0,54.0,0.35,510.0,44.0,22.0,200.0,346.0,2.8,,10.64
Amreli,Morjhar,8.2,938.0,628.0,0.0,220.0,156.0,10.0,54.0,0.1,180.0,52.0,27.0,240.0,105.0,0.7,,2.95
Amreli,Bherai,8.0,3483.0,2334.0,0.0,891.0,724.0,6.0,63.0,0.6,730.0,48.0,92.0,500.0,615.0,20.6,0.0,11.96
Amreli,Jafrabad,7.5,2854.0,1912.0,0.0,671.0,582.0,29.0,80.0,0.85,550.0,80.0,58.0,440.0,437.0,101.0,0.0,9.06
Amreli,Nageshri,7.9,920.0,616.0,0.0,305.0,121.0,23.0,77.0,0.3,250.0,48.0,54.0,340.0,84.0,3.9,0.0,1.98
Amreli,Bhavardi1,8.2,981.0,657.0,0.0,366.0,92.0,52.0,32.0,0.25,300.0,60.0,46.0,340.0,77.0,2.9,0.0,1.82
Amreli,Ingorala,8.1,700.0,469.0,0.0,354.0,36.0,35.0,7.0,0.25,290.0,56.0,34.0,280.0,45.0,0.2,,1.17
Amreli,Khamba,8.2,917.0,614.0,0.0,451.0,50.0,35.0,28.0,0.19,370.0,52.0,44.0,310.0,87.0,0.2,,2.15
Amreli,Trakuda,7.0,1390.0,931.0,0.0,439.0,170.0,135.0,35.0,0.1,360.0,124.0,63.0,570.0,82.0,1.9,,1.49
Amreli,Badhda,8.0,1446.0,969.0,0.0,317.0,192.0,155.0,71.0,0.1,260.0,76.0,80.0,520.0,98.0,0.4,,1.87
Amreli,Bhuva,7.7,12150.0,8141.0,0.0,1013.0,3408.0,300.0,408.0,0.75,830.0,320.0,109.0,1250.0,2354.0,146.0,,28.95
Amreli,Charkhadia1,8.0,2432.0,1629.0,0.0,1110.0,163.0,38.0,59.0,1.45,910.0,20.0,12.0,100.0,524.0,8.1,,22.78
Amreli,Goradka,7.7,2216.0,1485.0,0.0,268.0,341.0,330.0,124.0,0.08,220.0,188.0,105.0,900.0,93.0,0.5,,1.35
Amreli,Piyava,8.2,1411.0,945.0,0.0,610.0,121.0,39.0,45.0,0.4,500.0,24.0,34.0,200.0,254.0,0.3,0.0,7.81
Amreli,Kunkavav,8.0,2004.0,1343.0,0.0,244.0,426.0,110.0,98.0,0.35,200.0,108.0,73.0,570.0,198.0,0.7,,3.61
Amreli,Chavand,8.2,580.0,389.0,0.0,342.0,36.0,5.0,26.0,0.35,280.0,48.0,24.0,220.0,66.0,0.3,,1.93
Amreli,Lathi,7.9,1398.0,937.0,0.0,451.0,213.0,17.0,19.0,0.5,370.0,52.0,41.0,300.0,188.0,0.0,,4.72
Amreli,Luvariya,8.2,1307.0,876.0,0.0,683.0,92.0,20.0,57.0,2.2,560.0,24.0,7.0,90.0,314.0,0.0,0.55,14.39
Amreli,Tajpur,7.9,2005.0,1343.0,0.0,305.0,277.0,260.0,146.0,0.48,250.0,156.0,51.0,600.0,188.0,1.1,0.63,3.34
Amreli,Punjapadar,8.2,787.0,527.0,0.0,366.0,57.0,8.0,27.0,1.7,300.0,12.0,2.0,40.0,175.0,2.7,0.76,12.03
Amreli,Mandal,7.9,2210.0,1481.0,0.0,329.0,312.0,190.0,266.0,0.6,270.0,96.0,78.0,560.0,270.0,4.3,,4.96
Amreli,Victor,8.2,1703.0,1141.0,0.0,598.0,234.0,3.0,53.0,1.9,490.0,16.0,15.0,100.0,362.0,12.9,,15.74
Amreli,Charnara,7.7,3936.0,2637.0,0.0,866.0,880.0,6.0,172.0,1.5,710.0,40.0,29.0,220.0,890.0,11.9,0.0,26.09
Amreli,Fifad,7.8,6862.0,4598.0,0.0,1145.0,1576.0,32.0,245.0,0.55,939.0,88.0,146.0,820.0,1220.0,18.2,0.17,18.52
Amreli,Hipa vadali,8.1,2592.0,1737.0,0.0,1391.0,57.0,68.0,85.0,1.3,1140.0,20.0,22.0,140.0,565.0,0.2,0.0,20.76
Amreli,Kadiyali,7.4,3773.0,2528.0,0.0,634.0,895.0,14.0,41.0,2.05,520.0,176.0,49.0,640.0,560.0,11.9,0.0,9.62
Amreli,Tajpur,7.6,2200.0,1474.0,0.0,634.0,341.0,95.0,50.0,1.4,520.0,32.0,5.0,100.0,478.0,0.6,,20.78
Anand,Anand,7.6,1253.0,840.0,0.0,598.0,99.0,18.0,17.0,0.3,490.0,28.0,70.0,360.0,140.0,2.5,,3.21
Anand,Anklav2,8.12,1100.0,737.0,0.0,512.0,78.0,36.0,14.0,0.9,420.0,28.0,53.0,290.0,132.0,1.8,,3.37
Anand,Navapura,8.06,1400.0,938.0,0.0,622.0,106.0,40.0,14.0,0.48,510.0,68.0,72.0,470.0,110.0,5.5,,2.21
Anand,Ras,7.5,1743.0,1168.0,0.0,842.0,227.0,20.0,5.0,2.0,690.0,32.0,19.0,160.0,400.0,5.7,,13.75
Anand,Kansari1,8.1,4278.0,2866.0,0.0,586.0,993.0,24.0,242.0,0.6,480.0,100.0,96.0,650.0,700.0,4.0,,11.94
Anand,Laxmipura,8.0,3367.0,2256.0,0.0,793.0,709.0,30.0,62.0,1.1,650.0,100.0,48.0,450.0,600.0,2.1,,12.3
Anand,Ghora,7.92,1780.0,1193.0,0.0,537.0,241.0,115.0,18.0,0.67,440.0,84.0,41.0,380.0,238.0,13.0,,5.31
Anand,Adas,8.1,970.0,650.0,0.0,427.0,78.0,39.0,9.0,0.43,350.0,48.0,82.0,460.0,20.0,2.4,,0.41
Anand,Dharmaj,7.76,2450.0,1642.0,0.0,964.0,276.0,48.0,32.0,0.22,790.0,32.0,50.0,290.0,445.0,1.0,,11.36
Anand,Tol,7.6,877.0,588.0,0.0,439.0,50.0,5.0,16.0,0.3,360.0,68.0,22.0,260.0,86.0,7.2,,2.32
Anand,Utiyapara,7.7,680.0,456.0,0.0,390.0,42.0,2.0,6.0,0.15,320.0,88.0,29.0,340.0,22.0,1.1,,0.52
Banaskantha,Amirgadh,7.9,3942.0,2641.0,0.0,515.0,993.0,100.0,187.0,0.6,422.0,200.0,216.0,1400.0,330.0,3.7,0.05,3.83
Banaskantha,Iqbalgarh,8.2,680.0,456.0,0.0,281.0,64.0,25.0,20.0,0.25,230.0,52.0,38.0,290.0,34.0,0.9,,0.87
Banaskantha,Kidotar,7.98,1661.0,1113.0,0.0,695.0,149.0,36.0,52.0,1.0,570.0,88.0,70.0,510.0,165.0,9.0,0.0,3.18
Banaskantha,Ganapipli,8.2,838.0,561.0,0.0,329.0,85.0,36.0,14.0,2.6,270.0,52.0,34.0,270.0,79.0,1.2,,2.09
Banaskantha,Mohabbat gadh,7.8,1500.0,1005.0,0.0,244.0,347.0,75.0,15.0,1.15,200.0,176.0,31.0,570.0,94.0,3.2,0.05,1.71
Banaskantha,Ratanpur2,8.0,960.0,643.0,0.0,220.0,142.0,85.0,37.0,0.5,180.0,120.0,12.0,350.0,65.0,2.6,0.04,1.51
Banaskantha,Gangodra,7.81,1990.0,1333.0,0.0,366.0,367.0,40.0,154.0,1.0,300.0,104.0,58.0,500.0,239.0,5.2,0.0,4.65
Banaskantha,Jorapura,7.9,1277.0,856.0,0.0,268.0,220.0,38.0,108.0,0.7,220.0,120.0,46.0,490.0,87.0,1.7,,1.71
Banaskantha,Sodapur,7.69,1160.0,777.0,0.0,366.0,156.0,19.0,75.0,1.35,300.0,52.0,22.0,220.0,184.0,2.3,0.0,5.39
Banaskantha,Meda,8.08,960.0,643.0,0.0,281.0,106.0,60.0,88.0,0.17,230.0,92.0,34.0,370.0,70.0,2.9,,1.58
Banaskantha,Palanpur2,8.26,1308.0,876.0,0.0,464.0,170.0,75.0,37.0,0.67,380.0,28.0,27.0,180.0,250.0,0.8,0.0,8.1
Banaskantha,Bharol1,8.1,517.0,346.0,0.0,207.0,35.0,6.0,30.0,0.1,170.0,44.0,22.0,200.0,12.0,42.0,0.0,0.37
Banaskantha,Khoda,8.0,3287.0,2202.0,0.0,634.0,674.0,90.0,112.0,4.2,520.0,140.0,60.0,600.0,498.0,26.6,,8.84
Banaskantha,Dantiwada 1,7.96,624.0,418.0,0.0,244.0,57.0,34.0,26.0,0.5,200.0,84.0,14.0,270.0,31.0,1.0,,0.82
Bharuch,Roja tankaria,7.7,1488.0,997.0,0.0,439.0,227.0,1.0,24.0,0.03,360.0,76.0,34.0,330.0,175.0,35.0,0.22,4.19
Bharuch,Juna borbhata,8.24,1460.0,978.0,0.0,476.0,213.0,13.0,73.0,0.14,390.0,48.0,77.0,440.0,157.0,45.0,,3.25
Bharuch,Motwan,8.1,1670.0,1119.0,0.0,476.0,298.0,5.0,56.0,0.48,390.0,48.0,50.0,330.0,253.0,8.2,,6.06
Bharuch,Mulad,8.06,2357.0,1579.0,0.0,598.0,418.0,18.0,118.0,0.38,490.0,44.0,70.0,400.0,380.0,1.2,,8.26
Bharuch,Panoli,7.8,5000.0,3350.0,0.0,622.0,1347.0,55.0,107.0,1.03,510.0,116.0,214.0,1180.0,650.0,3.0,,8.23
Bharuch,Sajod,8.1,2160.0,1447.0,0.0,891.0,269.0,12.0,6.0,2.1,730.0,28.0,26.0,180.0,440.0,3.6,,14.26
Bharuch,Bharuch,7.8,2960.0,1983.0,0.0,634.0,631.0,8.0,72.0,0.15,520.0,100.0,137.0,820.0,314.0,2.4,0.0,4.77
Bharuch,Kaswa,8.08,526.0,352.0,0.0,232.0,50.0,2.0,18.0,0.11,190.0,48.0,14.0,180.0,47.0,12.0,,1.52
Bharuch,Mahegam1,8.0,496.0,332.0,0.0,244.0,28.0,4.0,12.0,0.25,200.0,40.0,19.0,180.0,35.0,6.6,1.5,1.13
Bharuch,Navetha,8.0,3095.0,2074.0,0.0,488.0,780.0,4.0,48.0,0.2,400.0,132.0,110.0,790.0,323.0,65.0,,5.0
Bharuch,Jetpur1,8.1,1600.0,1072.0,0.0,695.0,142.0,17.0,2.0,0.65,570.0,72.0,46.0,370.0,193.0,39.0,,4.36
Bharuch,Raymal,8.28,1290.0,864.0,0.0,281.0,284.0,5.0,46.0,0.45,230.0,56.0,43.0,320.0,170.0,11.1,,4.13
Bharuch,Utraj,8.7,1048.0,702.0,108.0,24.0,149.0,4.0,158.0,0.5,200.0,16.0,42.0,230.0,162.0,2.5,,4.64
Bharuch,Dahegam,7.76,1110.0,744.0,0.0,427.0,135.0,20.0,8.0,0.04,350.0,84.0,34.0,350.0,100.0,40.0,,2.32
Bharuch,Kalak,7.6,1064.0,713.0,0.0,366.0,142.0,14.0,81.0,0.25,300.0,80.0,34.0,340.0,119.0,13.5,0.34,2.81
Bharuch,Kavi,7.9,3250.0,2178.0,0.0,854.0,404.0,180.0,240.0,0.32,700.0,20.0,72.0,350.0,270.0,600.0,0.0,6.27
Bharuch,Sarod,8.0,2300.0,1541.0,0.0,1000.0,206.0,4.0,36.0,0.58,820.0,52.0,137.0,700.0,210.0,5.3,,3.45
Bharuch,Tankari,7.96,2434.0,1631.0,0.0,903.0,333.0,14.0,30.0,0.6,740.0,44.0,74.0,420.0,346.0,69.0,0.06,7.34
Bharuch,Talodra,8.1,1169.0,783.0,0.0,378.0,149.0,3.0,88.0,0.83,310.0,16.0,82.0,380.0,110.0,4.5,0.1,2.45
Bharuch,Bhensli,7.56,600.0,402.0,0.0,268.0,57.0,3.0,19.0,0.25,220.0,40.0,12.0,150.0,80.0,10.8,0.43,2.84
Bharuch,Luhara,8.2,2917.0,1954.0,0.0,976.0,369.0,120.0,50.0,0.15,800.0,48.0,101.0,540.0,340.0,180.0,0.0,6.36
Bharuch,Nirnavi,8.2,900.0,603.0,0.0,415.0,71.0,2.0,5.0,0.28,340.0,36.0,29.0,210.0,110.0,22.0,6.25,3.3
Bharuch,Arethi,7.42,490.0,328.0,0.0,256.0,21.0,2.0,13.0,0.25,210.0,48.0,14.0,180.0,35.0,0.1,0.0,1.13
Bharuch,Kavachiya,7.9,2600.0,1742.0,0.0,427.0,532.0,6.0,216.0,0.4,350.0,420.0,48.0,1250.0,42.0,2.6,,0.52
Bharuch,Kondh,8.0,1613.0,1081.0,0.0,390.0,269.0,25.0,47.0,0.94,320.0,60.0,55.0,280.0,228.0,0.5,,5.92
Bharuch,Mokhdi,7.8,1153.0,773.0,0.0,488.0,92.0,13.0,8.0,0.25,400.0,108.0,41.0,440.0,51.0,4.1,,1.06
Bharuch,Netrang1,8.2,747.0,500.0,0.0,268.0,92.0,8.0,46.0,0.24,220.0,68.0,46.0,360.0,21.0,0.1,,0.48
Bharuch,Valia,7.92,3820.0,2559.0,0.0,342.0,922.0,10.0,486.0,1.2,280.0,260.0,96.0,1050.0,490.0,1.7,0.09,6.57
Bharuch,Chidra,8.0,1297.0,869.0,0.0,427.0,170.0,58.0,5.0,0.23,350.0,84.0,48.0,410.0,99.0,76.0,0.01,2.13
Bharuch,Jokhala,8.1,1150.0,771.0,0.0,464.0,71.0,16.0,125.0,1.15,380.0,68.0,46.0,360.0,123.0,1.9,0.01,2.82
Bharuch,Mungaj,8.12,675.0,452.0,0.0,329.0,28.0,3.0,26.0,0.35,270.0,76.0,24.0,290.0,23.0,0.3,0.0,0.59
Bharuch,Pakhajan,7.86,4263.0,2856.0,0.0,610.0,1063.0,10.0,106.0,0.15,500.0,200.0,144.0,1100.0,477.0,68.0,0.01,6.25
Bharuch,Sahol,7.5,6120.0,4100.0,0.0,195.0,1914.0,2.0,317.0,0.25,160.0,860.0,132.0,2700.0,242.0,3.8,0.75,2.02
Bharuch,Sindhav,6.9,16130.0,10807.0,0.0,769.0,5814.0,26.0,20.0,1.72,630.0,720.0,816.0,5200.0,1690.0,120.0,0.18,10.19
Bharuch,Vegra,7.9,1883.0,1262.0,0.0,281.0,433.0,6.0,68.0,0.15,230.0,68.0,41.0,340.0,269.0,34.9,0.02,6.34
Bhavnagar,Bhavnagar1,8.2,1451.0,972.0,0.0,427.0,227.0,38.0,34.0,0.35,350.0,40.0,36.0,250.0,226.0,0.3,0.0,6.21
Bhavnagar,Bhudel,8.0,4193.0,2809.0,0.0,610.0,881.0,270.0,120.0,0.5,500.0,64.0,180.0,900.0,553.0,15.8,,8.01
Bhavnagar,Bhumbhali,7.8,7366.0,4935.0,0.0,415.0,1882.0,8.0,599.0,0.55,340.0,360.0,158.0,1550.0,971.0,27.7,,10.72
Bhavnagar,Tardhera,7.1,2083.0,1396.0,0.0,854.0,213.0,80.0,26.0,1.1,700.0,100.0,119.0,740.0,165.0,17.5,0.65,2.64
Bhavnagar,Dhasa,7.8,1950.0,1307.0,0.0,525.0,305.0,3.5,98.0,0.26,430.0,108.0,68.0,550.0,194.0,6.2,,3.6
Bhavnagar,Gadhada2,7.9,1125.0,754.0,0.0,378.0,114.0,34.0,61.0,0.15,310.0,100.0,27.0,360.0,94.0,0.4,,2.15
Bhavnagar,Ningala,7.8,998.0,669.0,0.0,390.0,114.0,15.0,13.0,0.5,320.0,36.0,17.0,160.0,161.0,1.5,0.17,5.53
Bhavnagar,Gariyadhar,7.7,2660.0,1782.0,0.0,317.0,525.0,190.0,186.0,0.42,260.0,200.0,117.0,980.0,174.0,0.2,0.08,2.42
Bhavnagar,Ghogha,7.7,6760.0,4529.0,0.0,537.0,1669.0,380.0,119.0,0.6,440.0,100.0,109.0,700.0,1176.0,98.1,,19.33
Bhavnagar,Dudhala,7.6,2227.0,1492.0,0.0,281.0,440.0,130.0,106.0,0.6,230.0,144.0,83.0,700.0,173.0,32.6,,2.84
Bhavnagar,Longadi,8.1,814.0,545.0,0.0,342.0,57.0,2.0,71.0,0.53,280.0,44.0,22.0,200.0,110.0,26.0,0.0,3.38
Bhavnagar,Mahuva1,7.9,3444.0,2307.0,0.0,1025.0,483.0,70.0,160.0,1.15,840.0,40.0,14.0,180.0,725.0,1.8,,23.49
Bhavnagar,Motivadal,8.0,1158.0,776.0,0.0,549.0,128.0,12.0,15.0,0.35,450.0,72.0,58.0,420.0,110.0,10.2,,2.33
Bhavnagar,Shantinagar,7.9,2030.0,1360.0,0.0,512.0,369.0,12.0,135.0,0.3,420.0,168.0,88.0,780.0,146.0,5.9,,2.27
Bhavnagar,Khijadiya,7.8,1425.0,955.0,0.0,720.0,121.0,55.0,28.0,0.8,590.0,28.0,15.0,130.0,326.0,12.8,,12.43
Bhavnagar,Panchpipla,8.0,1150.0,771.0,0.0,415.0,135.0,20.0,17.0,0.8,340.0,48.0,27.0,230.0,156.0,0.0,,4.47
Bhavnagar,Sajnasar,8.0,1446.0,969.0,0.0,305.0,263.0,58.0,45.0,0.42,250.0,100.0,54.0,470.0,115.0,1.1,0.08,2.31
Bhavnagar,Satanes,7.8,1451.0,972.0,0.0,659.0,121.0,22.0,13.0,0.4,540.0,128.0,41.0,480.0,122.0,7.8,,2.42
Bhavnagar,Sandhida,8.0,745.0,499.0,0.0,305.0,92.0,2.0,10.0,0.35,250.0,64.0,32.0,290.0,48.0,2.1,,1.23
Bhavnagar,Datha,8.0,2665.0,1786.0,0.0,573.0,554.0,2.0,82.0,0.7,470.0,40.0,29.0,220.0,520.0,2.6,,15.24
Bhavnagar,Talaja2,8.1,1910.0,1280.0,0.0,500.0,284.0,100.0,58.0,0.35,410.0,40.0,10.0,140.0,376.0,0.2,,13.82
Bhavnagar,Trapaj,7.9,1641.0,1099.0,0.0,342.0,170.0,280.0,115.0,0.6,280.0,124.0,92.0,690.0,83.0,0.7,,1.37
Bhavnagar,Bhutia,7.9,1955.0,1310.0,0.0,317.0,412.0,95.0,53.0,0.3,260.0,152.0,63.0,640.0,157.0,0.6,,2.7
Bhavnagar,Jalia,7.7,4070.0,2727.0,0.0,427.0,1093.0,70.0,113.0,0.5,350.0,304.0,223.0,1680.0,187.0,6.1,,1.98
Bhavnagar,Porbada,8.2,890.0,596.0,0.0,378.0,99.0,15.0,29.0,0.75,310.0,72.0,24.0,280.0,99.0,3.7,0.0,2.57
Bhavnagar,Timbi2,8.2,404.0,271.0,0.0,195.0,43.0,8.0,12.0,0.1,160.0,32.0,15.0,140.0,46.0,1.4,,1.69
Bhavnagar,Lonjdhara,8.2,1338.0,896.0,0.0,634.0,99.0,25.0,28.0,2.2,520.0,24.0,24.0,160.0,256.0,0.6,,8.8
Bhavnagar,Panvi1,8.2,2800.0,1876.0,0.0,1095.0,341.0,19.0,55.0,2.0,898.0,24.0,24.0,160.0,599.0,13.3,,20.59
Bhavnagar,Vallbhipur,7.9,6384.0,4277.0,0.0,1013.0,1562.0,9.0,118.0,2.4,830.0,40.0,73.0,400.0,1287.0,1.1,,27.98
Bhavnagar,Ayodhyapuram,8.2,4550.0,3049.0,0.0,1671.0,611.0,32.0,151.0,4.4,1370.0,16.0,19.0,120.0,1066.0,0.2,0.0,42.31
Bhavnagar,Boda,8.1,1676.0,1123.0,0.0,517.0,121.0,65.0,247.0,1.1,424.0,20.0,10.0,90.0,377.0,1.5,0.0,17.28
Bhavnagar,Khundeli,7.9,1841.0,1233.0,0.0,305.0,362.0,85.0,92.0,0.4,250.0,100.0,90.0,620.0,144.0,0.2,0.0,2.51
Bhavnagar,Piprala,8.2,686.0,460.0,0.0,281.0,71.0,27.0,30.0,0.15,230.0,56.0,36.0,290.0,44.0,0.4,,1.12
Bhavnagar,Vadala,8.0,922.0,618.0,0.0,293.0,99.0,76.0,39.0,0.26,240.0,56.0,46.0,330.0,71.0,0.0,0.0,1.7
Bhavnagar,Vavdi,8.0,1170.0,784.0,0.0,403.0,107.0,130.0,59.0,0.35,330.0,52.0,83.0,470.0,83.0,0.1,0.0,1.66
Dahod,Khandania,8.1,730.0,489.0,0.0,354.0,36.0,20.0,129.0,2.0,290.0,76.0,27.0,300.0,91.0,1.2,,2.28
Dahod,Salaya1,8.1,841.0,563.0,0.0,366.0,78.0,30.0,36.0,1.0,300.0,28.0,27.0,180.0,136.0,0.5,,4.41
Dahod,Kanjetha,7.6,720.0,482.0,0.0,329.0,42.0,34.0,45.0,0.85,270.0,48.0,27.0,230.0,81.0,3.1,,2.32
Dahod,Tokarba,8.0,972.0,651.0,0.0,232.0,170.0,20.0,76.0,0.95,190.0,76.0,32.0,320.0,97.0,1.9,,2.36
Dahod,Dahod1,8.0,927.0,621.0,0.0,220.0,92.0,115.0,57.0,0.94,180.0,68.0,29.0,290.0,81.0,0.0,0.0,2.07
Dahod,Dahod2,7.5,1376.0,922.0,0.0,427.0,14.0,6.0,207.0,2.7,350.0,52.0,41.0,300.0,137.0,3.3,,3.44
Dahod,Varamkheda,7.7,747.0,500.0,0.0,329.0,99.0,22.0,22.0,1.3,270.0,40.0,29.0,220.0,108.0,3.3,,3.17
Dahod,Sukhsar,8.1,743.0,498.0,0.0,366.0,43.0,32.0,36.0,0.85,300.0,28.0,22.0,160.0,123.0,1.4,,4.23
Dahod,Garbara,7.7,5303.0,3553.0,0.0,586.0,1136.0,45.0,380.0,3.0,480.0,160.0,171.0,1100.0,664.0,36.6,,8.7
Dahod,Panchwada,7.9,823.0,551.0,0.0,281.0,64.0,35.0,79.0,1.1,230.0,48.0,44.0,300.0,62.0,2.0,,1.56
Dahod,Limbdi2,8.2,577.0,387.0,0.0,305.0,50.0,3.0,43.0,1.18,250.0,36.0,15.0,150.0,102.0,4.9,0.08,3.62
Dahod,Mirakhedi,8.1,861.0,577.0,0.0,342.0,71.0,65.0,40.0,0.82,280.0,56.0,27.0,250.0,105.0,0.2,,2.89
Dahod,Dadhela,8.0,917.0,614.0,0.0,342.0,78.0,48.0,61.0,1.2,280.0,32.0,37.0,230.0,123.0,5.2,,3.53
Dahod,Wadia,8.0,3200.0,2144.0,0.0,256.0,731.0,180.0,169.0,1.03,210.0,244.0,144.0,1200.0,174.0,10.6,0.0,2.18
Dahod,Badpa,8.0,1072.0,718.0,0.0,378.0,135.0,10.0,17.0,2.9,310.0,48.0,15.0,180.0,164.0,1.3,0.2,5.31
Dahod,Dahod urban 2,8.0,2095.0,1404.0,0.0,451.0,316.0,205.0,47.0,2.4,370.0,52.0,90.0,500.0,249.0,4.0,0.07,4.84
Dahod,Dahod urban 3,7.8,2464.0,1651.0,0.0,244.0,646.0,44.0,90.0,0.55,200.0,148.0,76.0,680.0,264.0,3.8,0.0,4.4
Dahod,Garadu,8.0,635.0,425.0,0.0,342.0,50.0,12.0,25.0,0.97,280.0,28.0,171.0,140.0,115.0,2.0,0.0,4.23
Dahod,Thada,8.0,437.0,293.0,0.0,195.0,43.0,15.0,32.0,1.15,160.0,44.0,22.0,200.0,32.0,5.1,2.04,0.98
Daman,Khariwad daman,7.72,1248.0,836.0,0.0,512.0,149.0,5.0,20.0,0.6,420.0,56.0,43.0,320.0,156.0,7.0,,3.79
