S.N.,DISTRICT,LOCATION,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
1,Ahmedabad,Dalod,8.2,16640,11149.0,0,1257.0,5176.0,26.0,822.0,1.0,1030.82,152.0,260.0,1451.0,3535,45.0,40.0
2,Ahmedabad,Endla,7.35,715,479.0,0,354.0,50.0,0.23,18.0,0.46,290.0,56.0,34.0,280.0,47,11.0,1.2
3,Ahmedabad,Viramgam,8.08,2810,1883.0,0,329.0,596.0,4.9,230.0,0.32,270.0,16.0,19.0,120.0,541,4.4,21.5
4,Ahmedabad,Kumar Khan,7.34,6118,4099.0,0,1403.0,1120.0,21.0,397.0,3.5,1150.92,148.0,61.0,620.0,1100,63.0,19.2
5,Ahmedabad,Kundal,7.7,1243,833.0,0,354.0,184.0,2.2,64.0,0.73,290.0,44.0,24.0,210.0,178,1.7,5.3
6,Ahmedabad,Bavla,7.48,4998,3349.0,0,342.0,1092.0,11.0,580.0,0.52,280.0,152.0,41.0,550.0,863,2.7,16.0
7,Ahmedabad,Dhandhuka1,8.2,7328,4910.0,0,1135.0,1546.0,220.0,494.0,5.0,931.0,72.0,122.0,681.0,1384,44.0,23.08
8,Ahmedabad,Tagadi1,8.1,2960,1983.0,0,427.0,269.0,43.0,798.0,0.8,350.0,132.0,54.0,550.0,437,24.0,8.1
9,Ahmedabad,Barvala,8.19,7338,4916.46,0,1293.0,1198.0,33.0,1002.0,3.8,1060.85,32.0,73.0,380.0,1550,0.27,34.571
10,Ahmedabad,Lonjdhara,8.18,1264,847.0,0,500.0,142.0,49.0,30.0,2.4,410.0,20.0,29.0,170.0,225,0.51,7.5
11,Ahmedabad,Rajpada,8.08,708,474.0,0,293.0,57.0,37.0,30.0,0.73,240.0,40.08,34.0,240.0,70,0.31,1.96
12,Ahmedabad,Kundali,8.19,735,492.0,0,403.0,35.0,11.0,17.0,0.37,330.0,44.0,49.0,310.0,45,0.26,1.11
13,Amreli,Punjapadar,7.08,436,292.0,0,183.0,35.0,0.39,38.0,0.51,150.0,24.0,4.9,80.0,68,4.2,3.31
14,Amreli,Sanaliya,8.15,1916,1284.0,0,281.0,241.0,20.0,450.0,0.88,230.0,56.0,49.0,340.0,323,1.8,7.62
15,Amreli,Luvariya 1,8.19,996,667.0,0,573.0,28.0,20.0,19.0,2.5,470.0,28.0,7.3,100.0,198,4.9,8.61
16,Amreli,Lathi,8.18,1055,707.0,0,390.0,149.0,12.0,41.0,0.5,320.0,36.0,32.0,220.0,157,0.23,4.6
17,Amreli,Tajpur,7.85,444,297.0,0,220.0,28.0,5.5,19.0,0.4,180.0,40.0,15.0,160.0,37,1.94,1.27
18,Amreli,Chavand,8.09,607,407.0,0,305.0,35.0,5.2,23.0,0.4,250.0,40.0,27.0,210.0,58,0.9,1.74
19,Amreli,Untvad,7.99,1215,814.0,0,244.0,156.0,174.0,57.0,0.42,200.0,128.0,46.0,510.0,63,0.38,1.21
20,Amreli,Kotadapitha,8.09,385,258.0,0,183.0,28.0,4.8,16.0,0.4,150.0,24.0,19.0,140.0,30,1.94,1.1
21,Amreli,DhraiValmukund,8.19,465,312.0,0,256.0,14.0,6.9,10.0,0.36,210.0,32.0,17.0,150.0,49,0.29,1.74
22,Amreli,Bhildi,8.07,620,415.0,0,317.0,35.0,14.0,18.0,0.55,260.0,40.0,19.0,180.0,71,0.21,2.3
23,Amreli,AnkodiaMota,7.76,1278,856.0,0,366.0,170.0,94.0,85.0,0.33,300.0,72.0,56.0,410.0,136,1.2,2.92
24,Amreli,Kunkavav,7.82,1306,875.0,0,305.0,199.0,68.0,101.0,0.22,250.0,60.0,54.0,370.0,143,0.71,3.23
25,Amreli,Vaghania juna,8.02,1296,868.0,0,598.0,106.0,35.0,41.0,1.1,190.0,28.0,39.0,230.0,220,8.05,6.31
26,Amreli,Bagasara,7.81,3589,2405.0,0,403.0,780.0,230.0,260.0,0.46,330.0,132.0,187.0,1101.0,357,0.39,4.68
27,Amreli,Amreli,7.4,1280,858.0,0,317.0,199.0,50.0,96.0,0.14,260.0,100.0,39.0,410.0,112,1.3,2.4
28,Amreli,Govadka,7.58,507,340.0,0,195.0,50.0,18.0,26.0,0.29,160.0,32.0,19.0,160.0,50,9.5,1.72
29,Amreli,Vankiya,7.86,725,486.0,0,342.0,57.0,13.0,28.0,0.69,280.0,16.0,12.0,90.0,136,0.67,6.23
30,Amreli,Chalala,8.2,580,389.0,0,220.0,71.0,8.8,32.0,0.22,180.0,36.0,27.0,200.0,52,0.99,1.6
31,Amreli,Morjhar,7.83,833,558.0,0,293.0,121.0,22.0,30.0,0.18,240.0,60.0,44.0,330.0,61,0.3,1.46
32,Amreli,Kerala,8.09,1369,917.0,0,500.0,206.0,23.0,36.0,0.41,410.0,28.0,12.0,120.0,286,0.68,11.4
33,Amreli,Charkhadia1,7.57,1152,772.0,0,622.0,50.0,17.0,35.0,2.25,510.0,16.0,2.4,50.0,262,2.9,16.1
34,Amreli,Bhuva,8.13,9343,6260.0,0,805.0,2552.0,221.0,560.0,0.84,661.0,40.0,151.0,721.0,2008,81.0,32.5
35,Amreli,Dharangani,7.99,1687,1130.0,0,293.0,347.0,135.0,64.0,0.29,240.0,96.0,61.0,490.0,188,0.86,3.69
36,Amreli,Ingorala,8.19,676,453.0,0,342.0,35.0,16.0,30.0,0.31,280.0,60.0,29.0,270.0,47,0.52,1.24
37,Amreli,Virpur,7.3,1098,736.0,0,488.0,57.0,90.0,51.0,0.25,400.0,104.0,46.0,450.0,65,3.5,1.33
38,Amreli,Timbi2,8.2,2073,1389.0,0,451.0,390.0,85.0,112.0,0.83,370.0,48.0,66.0,390.0,341,19.0,7.51
39,Amreli,Kadiyali,8.38,2680,1796.0,24,342.0,674.0,8.9,27.0,1.0,320.0,132.0,29.0,450.0,363,12.0,7.44
40,Amreli,Jafrabad,8.15,3374,2261.0,0,549.0,645.0,150.0,177.0,0.61,450.0,40.0,54.0,320.0,528,210.0,12.83
41,Amreli,Lotpur,8.2,8755,5866.0,0,256.0,2567.0,114.0,477.0,0.27,210.0,64.0,179.968,901.0,1698,6.1,24.61
42,Amreli,Bherai,8.43,3112,2085.0,36,683.0,581.0,46.0,154.0,0.86,620.0,32.0,90.0,450.0,515,13.0,10.56
43,Amreli,Nageshri,7.73,1390,931.0,0,476.0,156.0,49.0,107.0,0.27,390.0,72.0,46.0,370.0,164,7.5,3.71
44,Amreli,Trakuda,7.46,452,303.0,0,171.0,50.0,0.76,26.0,0.27,140.0,36.0,15.0,150.0,44,1.5,1.56
45,Amreli,Khamba,8.2,698,468.0,0,366.0,35.0,24.0,22.0,0.26,300.0,48.0,29.0,240.0,68,0.41,1.91
46,Amreli,Vankiya1,8.19,1408,943.0,0,464.0,142.0,136.0,85.0,0.28,380.0,92.0,58.0,470.0,136,1.9,2.73
47,Amreli,Badhda,8.18,1275,854.0,0,244.0,177.0,124.0,100.0,0.21,200.0,52.0,73.0,430.0,101,0.79,2.12
48,Amreli,Goradka,7.7,1324,887.0,0,183.0,234.0,135.0,97.0,0.23,150.0,104.0,66.0,530.0,86,0.64,1.62
49,Amreli,Mandal,7.92,1976,1324.0,0,329.0,376.0,123.0,101.0,0.59,270.0,68.0,71.0,460.0,268,3.9,5.43
50,Amreli,Piyava,8.22,1260,844.0,0,659.0,78.0,33.0,20.0,0.39,540.0,28.0,36.0,220.0,220,0.37,6.45
51,Amreli,Hipabadli,9.14,2657,1780.0,78,1198.0,113.0,26.0,54.0,2.25,1112.0,8.0,17.0,90.0,580,7.26,26.6
52,Anand,Parvata,8.33,1148,769.16,36,476.0,71.0,6.9,76.0,0.93,450.0,40.0,78.0,420.0,96,1.9,2.04
53,Anand,Adas,8.06,1216,814.72,0,512.0,92.0,91.0,39.0,0.52,420.0,36.0,102.0,510.0,75,1.2,1.44
54,Anand,Anklav,8.19,1476,988.92,0,683.0,121.0,37.0,53.0,0.73,560.0,36.0,124.0,600.0,97,2.0,1.72
55,Anand,Bhadran,7.93,635,425.45,0,342.0,35.0,0.33,20.0,0.28,281.0,64.0,27.0,270.0,32,1.3,0.85
56,Anand,Ras,8.09,1442,966.14,0,659.0,149.0,16.0,25.0,4.5,541.0,28.0,22.0,160.0,284,8.5,9.76
57,Anand,Dali,8.18,3721,2493.07,0,805.0,808.0,12.0,154.0,3.4,660.0,80.0,85.0,550.0,605,21.0,11.22
58,Anand,Kansari,8.19,4565,3058.55,0,744.0,1035.0,46.0,262.0,1.6,610.0,88.0,90.0,590.0,784,10.0,14.03
59,Anand,Dharmaj,9.23,2488,1666.96,180,573.0,262.0,79.0,154.0,2.2,770.0,12.0,44.0,210.0,498,0.13,14.94
60,Anand,Bandhani,8.52,1834,1228.78,36,903.0,106.0,28.0,38.0,2.3,801.0,8.0,27.0,130.0,408,0.56,15.56
61,Aravalli,Punasan,7.9,810,542.7,0,256.0,64.0,36.0,90.0,1.75,209.97,72.0,17.0,250.0,77,0.49,2.12
62,Aravalli,Shamlaji,8.0,501,335.67,0,220.0,50.0,3.0,15.0,0.51,180.0,36.0,4.9,110.0,70,0.85,2.9
63,Aravalli,Bhiloda,7.74,1173,785.91,0,305.0,156.0,37.0,140.0,0.85,250.0,84.0,45.0,395.0,105,2.85,2.3
64,Aravalli,Takatuka,7.7,3100,2077.0,0,244.0,724.0,108.0,145.0,1.01,200.0,176.0,73.0,740.0,381,1.52,6.09
65,Aravalli,Gadada,7.6,1758,1177.86,0,317.0,227.0,140.0,207.0,0.98,260.0,112.0,78.0,600.0,116,0.76,2.06
66,Aravalli,Madasana,7.69,1034,692.78,0,183.0,170.0,60.0,127.0,0.73,150.0,84.0,29.0,330.0,106,2.1,2.54
67,Aravalli,Modasa2,7.62,963,645.21,0,232.0,128.0,55.0,56.0,0.13,190.0,112.0,2.5,290.0,82,2.6,2.09
68,Aravalli,Seenawad,7.44,1427,956.09,0,305.0,227.0,109.0,100.0,0.46,250.0,144.0,34.0,500.0,97,11.5,1.89
69,Aravalli,Megraj_1,7.53,810,542.7,0,268.0,99.0,8.7,76.0,0.4,220.0,48.0,17.0,190.0,109,1.9,3.44
70,Aravalli,Hamirpur,7.49,1509,1011.03,0,293.0,256.0,85.0,132.0,0.63,240.0,144.0,29.0,480.0,125,0.99,2.48
71,Aravalli,Malpur_1,7.59,807,540.69,0,280.0,64.0,106.0,11.0,0.72,230.0,76.0,39.0,350.0,26,0.42,0.6
72,Aravalli,Sathamba,7.94,918,615.06,0,366.0,43.0,18.0,90.0,0.74,300.0,56.0,46.0,330.0,58,1.6,1.39
73,Aravalli,Boral,7.69,3142,2105.14,0,268.0,824.0,125.0,77.0,0.49,220.0,304.0,15.0,820.0,398,1.1,6.04
74,Aravalli,Bibipur1,7.5,3190,2137.3,0,256.0,568.0,440.0,240.0,0.31,210.0,272.0,170.0,1380.0,95,3.5,1.11
75,Aravalli,Alwa Kampa,7.87,1146,767.82,0,378.0,99.0,36.0,122.0,0.57,310.0,52.0,53.0,350.0,92,0.5,2.14
76,Aravalli,Karanpur,7.84,682,456.94,0,122.0,99.0,38.0,90.0,0.72,100.0,56.0,19.0,220.0,60,0.4,1.76
77,Aravalli,Dhansura,7.8,1350,904.5,0,366.0,156.0,74.0,85.0,0.47,300.0,168.0,24.0,520.0,69,0.55,1.32
78,Banaskantha,Amirgadh,7.02,3275,2194.0,0,586.0,709.0,125.0,116.0,0.78,480.0,140.0,151.0,971.0,330,3.1,4.6
79,Banaskantha,Bharol1,7.14,825,553.0,0,378.0,78.0,5.3,17.0,0.64,310.0,76.0,27.0,300.0,40,52.0,1.0
80,Banaskantha,Dantiwada,7.04,620,415.0,0,281.0,50.0,30.0,17.0,0.42,230.0,80.0,17.0,270.0,33,1.1,0.9
81,Banaskantha,Ganapipli,7.08,918,615.0,0,390.0,78.0,33.0,39.0,2.1,320.0,76.0,34.0,330.0,81,2.0,1.9
82,Banaskantha,Gangodra,7.12,3494,2341.0,0,671.0,709.0,0.96,144.0,3.5,550.0,204.0,85.0,861.0,335,19.0,5.0
83,Banaskantha,Iqbalgarh,7.38,810,543.0,0,329.0,57.0,54.0,23.0,0.58,270.0,76.0,34.0,330.0,45,1.0,1.1
84,Banaskantha,Jhat,7.68,2000,1340.0,0,476.0,355.0,0.24,137.0,1.6,390.0,28.0,27.0,180.0,375,4.2,12.2
85,Banaskantha,Khoda,7.66,1575,1055.0,0,573.0,177.0,22.0,107.0,1.9,470.0,20.0,19.0,130.0,320,13.0,12.2
86,Banaskantha,Mohabbat gadh,7.17,1488,997.0,0,305.0,262.0,73.0,68.0,1.3,250.0,156.0,22.0,480.0,110,3.6,2.2
87,Banaskantha,Palanpur2,7.48,1579,1058.0,0,427.0,248.0,103.0,67.0,0.8,350.0,76.0,46.0,380.0,210,0.7,4.7
88,Banaskantha,Ratanpur2,7.08,1480,992.0,0,268.0,233.97,155.0,93.0,0.39,220.0,188.0,22.0,560.0,95,2.5,1.7
89,Banaskantha,Sodapur,7.45,915,613.0,0,403.0,78.0,19.0,38.0,2.2,330.0,32.0,19.0,160.0,158,2.8,5.4
90,Bharuch,Kalak1,7.01,835,559.45,0,354.0,64.0,15.0,24.0,1.5,290.348,80.0,12.0,250.0,60,36.0,1.65
91,Bharuch,Tankari,7.93,4492,3009.64,0,879.0,908.0,13.0,227.0,0.66,720.95,96.0,158.0,891.0,544,113.0,7.93
92,Bharuch,Sindhav,8.0,567,379.89,0,268.0,35.0,1.4,18.0,0.34,220.0,32.0,15.0,140.0,66,14.0,2.43
93,Bharuch,Chhindra,7.84,850,569.5,0,378.0,64.0,21.0,31.0,0.42,310.0,64.0,27.0,270.0,59,55.0,1.56
94,Bharuch,Dahegam,7.76,1644,1101.48,0,512.0,213.0,61.0,85.0,0.19,420.0,96.0,63.0,500.0,133,49.0,2.59
95,Bharuch,Kavi,8.2,2962,1984.54,0,854.0,312.0,121.0,157.0,0.39,700.0,40.0,44.0,280.0,190,510.0,4.94
96,Bharuch,Sarod,8.02,735,492.45,0,293.0,85.0,7.2,17.0,0.45,240.0,48.0,34.0,260.0,55,16.0,1.48
97,Bharuch,Roja Tankaria,7.59,1739,1165.13,0,476.0,326.0,5.8,34.0,0.36,390.0,132.0,49.0,530.0,131,46.0,2.47
98,Bharuch,Nirnavi,7.57,595,398.65,0,329.0,28.0,7.7,8.5,0.62,270.0,48.0,12.0,170.0,66,12.0,2.2
99,Bharuch,Luhala,8.14,2526,1692.42,0,732.0,255.0,115.0,164.0,0.5,600.0,40.0,54.0,320.0,255,315.0,6.2
100,Bharuch,Bhensali,7.91,1006,674.02,0,305.0,142.0,5.2,72.0,0.54,250.0,48.0,27.0,230.0,119,17.0,3.41
101,Bharuch,Mahegam,7.79,1579,1057.93,0,476.0,269.0,0.73,74.0,0.28,390.0,116.0,68.0,570.0,92,36.0,1.68
102,Bharuch,Kaswa,7.93,450,301.5,0,207.0,35.0,4.7,13.0,0.45,170.0,44.0,12.0,160.0,37,3.4,1.27
103,Bharuch,Navetha,7.81,695,465.65,0,305.0,92.0,2.5,2.1,0.32,250.0,64.0,27.0,270.0,34,23.0,0.9
104,Bharuch,Bharuch,7.75,2416,1618.72,0,635.0,347.0,1.2,129.0,0.31,521.0,144.0,85.0,711.0,206,5.3,3.36
105,Bharuch,Sajod,8.58,2035,1363.45,72,683.0,191.0,11.0,58.0,3.2,680.0,16.0,36.0,190.0,400,2.8,12.6
106,Bharuch,Utraj,7.88,475,318.25,0,207.0,28.0,2.8,17.0,0.45,170.0,48.0,10.0,160.0,35,0.69,1.2
107,Bharuch,Jetpur,7.68,1750,1172.5,0,451.0,347.0,11.0,67.0,0.86,370.0,96.0,32.0,370.0,240,36.0,5.42
108,Bharuch,Sahol,7.62,5499,3684.33,0,281.0,1390.0,298.0,360.0,0.68,230.0,521.0,117.0,1781.0,390,3.1,4.02
109,Bharuch,Raymal,7.92,3069,2056.23,0,281.0,752.0,5.7,69.0,0.61,230.0,76.0,100.0,600.0,340,14.0,6.03
110,Bharuch,Motwan,7.98,3445,2308.15,0,464.0,794.0,3.3,287.0,0.72,381.0,124.0,71.0,600.0,602,12.0,10.69
111,Bharuch,Panoli,7.9,2502,1676.34,0,537.0,447.0,29.0,229.0,1.6,440.0,40.0,39.0,260.0,495,0.75,13.35
112,Bharuch,Kondh,7.78,847,567.49,0,305.0,71.0,20.0,58.0,0.99,250.0,48.0,19.0,200.0,97,6.3,2.98
113,Bharuch,Mungaj,7.48,528,353.76,0,305.0,14.0,1.5,14.0,0.13,250.0,56.0,27.0,250.0,19,0.3,0.52
114,Bhavnagar,Panvi1,8.22,1798,1205.0,0,940.0,106.0,2.9,52.0,3.9,771.0,16.0,15.0,100.0,408,4.6,17.74
115,Bhavnagar,Aayodhyapuram,8.02,1351,905.0,0,561.0,156.0,33.0,37.0,1.9,460.0,28.0,10.0,110.0,278,7.6,11.52
116,Bhavnagar,Vallabhipur,8.2,4290,2874.0,0,451.0,1021.0,12.0,380.0,0.79,370.0,84.0,58.0,450.0,767,9.3,15.72
117,Bhavnagar,Timbi,7.23,388,260.0,0,183.0,28.0,0.61,21.0,0.45,150.0,32.0,10.0,120.0,40,1.7,1.59
118,Bhavnagar,Jalia,7.38,2464,1651.0,0,427.0,553.0,27.0,170.0,0.4,350.0,216.0,112.0,1001.0,148,3.8,2.03
119,Bhavnagar,Motivadal,8.2,1273,853.0,0,476.0,170.0,28.0,81.0,0.29,390.0,92.0,68.0,510.0,110,9.2,2.12
120,Bhavnagar,Dudhala,8.19,1873,1255.0,0,415.0,362.0,71.0,99.0,0.5,340.0,44.0,63.232,370.0,287,6.7,6.49
121,Bhavnagar,Mahuva,8.22,4600,3082.0,0,830.0,1014.0,68.0,190.0,0.87,681.0,24.0,36.48,210.0,1007,1.9,30.21
122,Bhavnagar,Bora,8.56,1566,1049.0,72,647.0,78.0,55.0,54.0,2.0,651.0,16.0,7.296,70.0,364,1.7,18.92
123,Bhavnagar,Datha,8.08,1228,823.0,0,366.0,213.0,7.3,51.0,1.3,300.0,28.0,14.592,130.0,238,6.7,9.08
124,Bhavnagar,Longadi,8.05,668,448.0,0,293.0,64.0,4.5,31.0,0.57,240.0,36.0,14.592,150.0,85,27.0,3.02
125,Bhavnagar,Pasvi,7.75,805,539.0,0,342.0,64.0,31.0,46.0,0.3,280.0,60.0,43.776,330.0,50,5.9,1.2
126,Bhavnagar,Kundheli,7.85,1203,806.0,0,244.0,241.0,32.0,83.0,0.34,200.0,80.0,48.64,400.0,105,0.9,2.28
127,Bhavnagar,Talaja2,8.06,1240,831.0,0,415.0,142.0,94.0,61.0,0.51,340.0,92.0,63.0,490.0,89,0.56,1.75
128,Bhavnagar,Trapaj,7.02,1518,1017.0,0,317.0,163.0,185.0,160.0,0.31,260.0,176.0,56.0,671.0,57,0.47,0.96
129,Bhavnagar,Vavdi,7.43,1010,677.0,0,342.0,78.0,70.0,110.0,0.36,280.0,52.0,66.0,400.0,65,0.99,1.41
130,Bhavnagar,Bhumbhali,8.09,4605,3085.0,0,696.0,858.0,7.7,637.0,0.63,570.0,80.0,88.0,560.0,820,17.0,15.0658
131,Bhavnagar,Ghogha,8.36,3279,2197.0,72,488.0,546.0,181.0,194.0,0.28,520.0,96.0,41.0,410.0,500,53.0,10.7362
132,Bhavnagar,Bhavnagar1,7.82,1268,850.0,0,403.0,184.0,38.0,74.0,0.38,330.0,60.0,24.0,250.0,208,0.77,5.7196
133,Bhavnagar,Ambala,8.03,411,275.0,0,195.0,28.0,1.9,16.0,0.45,160.0,28.0,15.0,130.0,40,1.8,1.53
134,Bhavnagar,Piperla,7.66,888,595.0,0,317.0,92.0,34.0,52.0,0.26,260.0,84.0,34.0,350.0,48,0.77,1.12
135,Bhavnagar,Palitana2,7.21,950,637.0,0,366.0,113.0,10.0,51.0,0.26,300.0,92.0,34.0,370.0,57,6.22,1.29
136,Bhavnagar,Sajnasar,7.77,895,600.0,0,378.0,78.0,27.0,49.0,0.42,310.0,76.0,34.0,330.0,65,3.1,1.56
137,Bhavnagar,Vadal,7.84,1055,707.0,0,305.0,142.0,100.0,52.0,0.32,250.0,72.0,56.0,410.0,80,0.48,1.72
138,Bhavnagar,Ningala,8.09,598,401.0,0,256.0,57.0,8.4,32.0,0.45,210.0,16.0,12.0,90.0,105,0.67,4.81
139,Bhavnagar,Dhasa,8.19,861,577.0,0,305.0,92.0,39.0,48.0,0.33,250.0,68.0,24.0,270.0,94,0.32,2.49
140,Bhavnagar,Gariyadhar,8.15,1523,1020.0,0,207.0,319.0,94.0,142.0,0.45,170.0,60.0,68.0,430.0,190,0.46,3.99
141,Bhavnagar,Panchpipla,8.14,1156,775.0,0,366.0,170.0,26.0,73.0,0.55,300.0,40.0,49.0,300.0,157,0.2,3.94
142,Bhavnagar,Khijadiya,8.18,2267,1519.0,0,512.0,432.0,23.0,108.0,1.28,420.0,40.0,44.0,280.0,390,0.16,10.13
143,Bhavnagar,Gadhada2,8.11,814,545.0,0,366.0,78.0,10.0,32.0,0.31,300.0,80.0,22.0,290.0,69,7.97,1.76
144,Bhavnagar,Tatam,8.08,5062,3392.0,0,317.0,1283.0,365.0,288.0,0.48,260.0,289.0,316.0,2022.0,322,1.52,3.11
145,Bhavnagar,Tardhera,8.23,1812,1214.0,0,244.0,319.0,234.0,99.0,0.42,200.0,116.0,90.0,661.0,114,1.04,1.93
146,Chhota Udaipur,Govindpur,7.96,6995,4686.65,0,500.0,2028.0,20.0,488.0,1.9,410.0,148.296,297.0,1591.0,1000,5.8,10.9
147,Chhota Udaipur,Alhadpura,8.02,1049,702.83,0,427.0,113.0,32.0,41.0,1.1,350.0,44.088,51.0,320.0,110,2.8,2.67
148,Chhota Udaipur,Pitha,7.96,865,579.55,0,293.0,113.0,47.0,18.0,0.9,240.0,52.104,54.0,350.0,57,1.9,1.32
149,Chhota Udaipur,Kaprali,7.78,632,423.44,0,281.0,28.0,54.0,22.0,0.67,230.0,68.0,24.0,270.0,36,1.5,0.95
150,Chhota Udaipur,Sengpur,7.72,541,362.47,0,268.0,28.0,22.0,14.0,0.57,220.0,60.0,22.0,240.0,27,0.3,0.76
151,Chhota Udaipur,Motichikli,7.78,648,434.16,0,317.0,28.0,19.0,28.0,3.6,260.0,64.0,22.0,250.0,50,0.41,1.37
