S.N.,DISTRICT,LOCATION,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
152,Chhota Udaipur,Bhindol,8.2,1750,1172.5,0,976.0,92.0,3.9,26.0,4.0,801.0,28.0,68.0,350.0,285,0.77,6.62
153,Chhota Udaipur,Chavaria,7.86,1449,970.83,0,439.0,199.0,101.0,55.0,4.05,360.0,64.0,61.0,410.0,178,2.6,3.8
154,Chhota Udaipur,Panvad,8.02,1498,1003.66,0,549.0,177.0,20.0,100.0,1.8,450.0,36.0,34.0,230.0,272,4.4,7.8
155,Chhota Udaipur,Chhota Udaipur,7.53,828,554.76,0,207.0,85.0,40.0,59.0,1.0,170.0,60.0,21.888,240.0,74,0.71,2.08
156,Chhota Udaipur,Ferkuva,7.57,642,430.14,0,244.0,71.0,37.0,23.0,0.45,200.0,88.0,19.456,300.0,17,3.4,0.43
157,Chhota Udaipur,Ghhamodi,7.72,516,345.72,0,232.0,50.0,1.6,13.0,1.1,190.0,48.0,9.728,160.0,50,0.86,1.72
158,Chhota Udaipur,Kevadi,7.54,518,347.06,0,220.0,43.0,9.3,21.0,0.93,180.0,60.0,9.728,190.0,39,0.22,1.23
159,Chhota Udaipur,Pavi,8.0,2007,1344.69,0,525.0,376.0,12.0,132.0,0.95,431.0,128.0,38.912,480.0,258,10.0,5.12
160,Dahod,Salaya,7.92,890,596.3,0,366.0,78.0,7.4,38.0,0.6,300.0,84.0,12.0,260.0,88,2.1,2.37
161,Dohad,Wadia,8.1,2323,1556.41,0,219.0,483.0,65.0,185.0,1.7,180.0,208.0,68.0,800.0,160,10.0,2.46
162,Dohad,Limbdi,7.83,779,521.93,0,329.0,78.0,1.3,15.0,0.79,270.0,68.0,7.3,200.0,89,5.18,2.74
163,Dohad,Sukhsar,7.69,844,565.48,0,317.0,50.0,55.0,35.0,0.97,260.0,80.0,4.9,220.0,89,1.9,2.61
164,Dohad,Sarsava,7.74,383,256.61,0,183.0,29.0,8.0,5.0,0.48,150.0,52.0,0.0,130.0,31,7.77,1.18
165,Dohad,Bapda,7.96,1172,785.24,0,366.0,135.0,20.0,72.0,0.91,300.0,44.0,17.0,180.0,184,2.67,5.96
166,Dohad,Devgadh bariya,8.2,918,615.06,0,220.0,142.0,16.0,67.0,0.96,180.0,40.0,27.0,210.0,119,3.3,3.57
167,Dohad,Khandania,7.88,699,468.33,0,317.0,28.0,24.0,20.0,1.0,260.0,60.0,15.0,210.0,57,1.5,1.71
168,Dohad,Tokarba,8.04,981,657.27,0,378.0,107.0,4.0,37.0,1.0,310.0,84.0,10.0,250.0,112,2.57,3.08
169,Dohad,Kanjetha,8.09,753,504.51,0,378.0,43.0,9.4,2.0,0.97,310.0,68.0,10.0,210.0,77,3.0,2.31
170,Dohad,Dhanpur,7.98,1700,1139.0,0,512.0,227.0,30.0,98.0,1.3,420.0,184.0,34.0,600.0,117,11.6,2.08
171,Dohad,Amba Katch,8.19,1075,720.25,0,390.0,85.0,70.0,38.0,1.2,320.0,80.0,24.0,300.0,108,9.0,2.71
172,Dohad,Garbara,7.9,8180,5480.6,0,463.0,1740.0,822.0,396.0,6.8,380.0,120.0,389.0,1900.0,1079,28.5,10.76
173,Dohad,Panchwada,8.15,907,607.69,0,390.0,64.0,24.0,24.0,1.76,320.0,16.0,75.0,350.0,48,3.69,1.12
174,Dohad,Varamkheda,8.11,580,388.6,0,220.0,50.0,30.0,11.0,1.0,180.0,28.0,41.0,240.0,24,1.54,0.67
175,Dohad,Dahod Urban-3,7.88,1641,1099.47,0,317.0,220.0,137.0,97.0,0.74,260.0,48.0,80.0,450.0,179,3.39,3.67
176,Dohad,Dahod Urban-2,7.97,2311,1548.37,0,317.0,390.0,155.0,175.0,3.45,260.0,52.0,136.0,690.0,250,4.94,4.14
177,Dohad,Dahod Urban-1,8.06,633,424.11,0,171.0,57.0,56.0,31.0,1.16,140.0,40.0,36.0,250.0,25,0.38,0.69
178,Dohad,Mirakhedi,8.11,863,578.21,0,256.0,85.0,32.0,50.0,0.88,210.0,56.0,54.0,360.0,26,0.85,0.6
179,Dohad,Dahod2,7.97,1771,1186.57,0,342.0,291.0,76.0,43.0,2.3,281.0,28.0,90.0,440.0,160,2.27,3.32
180,Dohad,Dadhela,8.16,712,477.04,0,232.0,64.0,30.0,38.0,1.26,190.0,36.0,41.0,260.0,43,4.36,1.16
181,Daman,Warkund,8.08,676,452.92,0,293.0,71.0,2.0,22.0,0.77,240.0,36.0,34.0,230.0,65,0.5,1.87
182,Daman,Dalwada,8.14,688,460.96,0,293.0,64.0,15.0,34.0,0.31,240.0,48.0,36.0,270.0,50,3.8,1.33
183,Dangs-Ahwa,Mehskatri,7.73,516,345.72,0,281.0,21.0,3.0,18.0,0.2,230.0,68.0,15.0,230.0,23,0.34,0.66
184,Dangs-Ahwa,Kalibel,8.09,695,465.65,0,305.0,50.0,3.0,69.0,0.52,250.0,64.0,32.0,290.0,45,0.55,1.14
185,Dangs-Ahwa,Sodmal,8.25,714,478.38,0,366.0,36.0,11.0,27.0,0.94,300.0,40.0,46.0,290.0,48,0.22,1.23
186,Dangs-Ahwa,Bardipada,8.21,2590,1735.3,0,598.0,483.0,15.0,170.0,0.86,490.0,56.0,56.0,370.0,459,2.07,10.0
187,Dangs-Ahwa,Mahal,8.24,1028,688.76,0,390.0,107.0,2.0,65.0,1.14,320.0,36.0,39.0,250.0,125,2.37,3.44
188,Dangs-Ahwa,Subir,8.14,1045,700.15,0,549.0,64.0,3.0,43.0,0.51,450.0,72.0,49.0,380.0,85,2.64,1.9
189,Dangs-Ahwa,Ghubita,7.73,925,619.75,0,268.0,149.0,1.0,30.0,0.0,220.0,76.0,24.0,290.0,67,7.1,1.7
190,Dangs-Ahwa,Ahwa1,8.13,1130,757.1,0,451.0,128.0,18.0,60.0,0.0,370.0,40.0,61.0,350.0,101,20.0,2.34
191,Dangs-Ahwa,Umberpada,8.34,1028,688.76,48,427.0,57.0,16.0,33.0,0.35,430.0,40.0,63.0,360.0,97,0.64,2.21
192,Dangs-Ahwa,Chichpada,7.8,1629,1091.43,0,659.0,199.0,36.0,45.0,1.12,541.0,104.0,63.0,520.0,175,7.5,3.34
193,Dangs-Ahwa,Dhumkhal,7.81,872,584.24,0,403.0,64.0,17.0,33.0,0.47,331.0,76.0,41.0,360.0,50,0.5,1.15
194,Dangs-Ahwa,Jakana,8.1,940,629.8,0,403.0,107.0,12.0,45.0,0.31,331.0,112.0,41.0,450.0,31,0.85,0.64
195,Dangs-Ahwa,Malegaon,8.27,746,499.82,0,159.0,135.0,2.0,35.0,0.23,130.0,48.0,22.0,210.0,70,0.64,2.1
196,Dangs-Ahwa,Baripada,7.12,1080,723.6,0,317.0,121.0,100.0,84.0,0.5,260.0,68.0,56.0,400.0,85,1.15,1.84
197,Dangs-Ahwa,Chikhli,8.1,542,363.14,0,232.0,43.0,19.0,31.0,0.22,190.0,64.0,19.0,240.0,28,0.45,0.78
198,Dangs-Ahwa,Aherdi,8.01,685,458.95,0,317.0,43.0,9.0,33.0,0.39,260.0,60.0,34.0,290.0,38,1.92,1.02
199,Dangs-Ahwa,Nana pada,7.95,706,473.02,0,244.0,92.0,24.0,43.0,0.27,200.0,64.0,36.0,310.0,36,0.25,0.89
200,Dangs-Ahwa,Sakarpatal,7.91,655,438.85,0,281.0,43.0,43.0,36.0,0.34,230.0,48.0,29.0,240.0,62,2.07,1.77
201,Dangs-Ahwa,Jamalpada,8.15,929,622.43,0,329.0,142.0,1.0,43.0,0.85,270.0,48.0,46.0,310.0,93,1.36,2.3
202,Dangs-Ahwa,Waghai,7.85,1550,1038.5,0,171.0,376.0,18.0,140.0,0.3,140.0,136.0,54.0,560.0,115,0.92,2.11
203,Dangs-Ahwa,Chinchnogaotha,7.82,1063,712.21,0,476.0,92.0,32.0,30.0,0.57,390.0,72.0,51.0,390.0,87,8.33,1.91
204,Dangs-Ahwa,Nadak khadi,8.27,1084,726.28,0,305.0,135.0,60.0,60.0,0.8,250.0,40.0,66.0,370.0,97,0.34,2.19
205,Dangs-Ahwa,Bori Goatha 1,8.17,628,420.76,0,354.0,28.0,4.0,13.0,0.14,290.0,44.0,41.0,280.0,24,0.83,0.63
206,Dangs-Ahwa,Vanzat Amba,7.43,655,438.85,0,232.0,78.0,15.0,35.0,0.43,190.0,56.0,27.0,250.0,50,2.5,1.37
207,Diu,Jalawadi,7.88,10250,6868.0,0,281.0,3545.0,1.1,118.0,0.31,230.0,569.136,357.504,2892.0,1082,52.0,8.75
208,Diu,Moiwachawadi,7.98,4940,3310.0,0,378.0,1205.0,127.0,322.0,0.62,310.0,196.392,172.672,1201.0,538,64.0,6.75
209,Diu,Gomtimata,8.19,3468,2324.0,0,610.0,709.0,104.0,189.0,0.64,500.0,68.0,116.736,651.0,508,39.0,8.66
210,Gandhinagar,Paliya,7.41,2460,1648.0,0,598.0,362.0,107.0,109.0,1.4,490.0,88.0,117.0,701.0,250,3.5,4.1
211,Gir Somnath,Ankolwadi,7.2,1111,744.37,0,488.0,85.0,8.0,30.0,0.27,400.0,68.0,49.0,370.0,85,0.88,1.92
212,Jamnagar,Amaliya Chokdi,7.04,3021,2024.07,0,366.0,780.0,13.0,112.0,2.3,300.0,140.0,122.0,850.0,299,7.19,4.46
213,Jamnagar,Ambardi,7.43,1920,1286.4,0,464.0,298.0,86.0,84.0,1.3,381.0,80.0,77.0,515.0,204,2.16,3.91
214,Jamnagar,Amran1,6.64,478,320.26,0,134.0,78.0,3.0,13.0,0.62,110.0,24.0,22.0,150.0,41,4.79,1.46
215,Jamnagar,Aramda or Arambhada,7.47,2350,1574.5,0,549.0,426.0,5.0,110.0,4.3,450.0,48.0,46.0,310.0,370,31.17,9.14
216,Jamnagar,Balwa,7.26,1425,954.75,0,342.0,191.0,114.0,75.0,0.25,281.0,136.0,54.0,560.0,68,0.36,1.25
217,Jamnagar,Bangour  Choukdi,7.27,755,505.85,0,183.0,78.0,84.0,45.0,0.27,150.0,72.0,27.0,290.0,40,0.56,1.02
218,Jamnagar,Bed1,7.67,1560,1045.2,0,403.0,301.0,5.0,14.0,0.97,331.0,180.0,58.0,690.0,37,1.92,0.61
219,Jamnagar,Bedanpur,7.72,8000,5360.0,0,488.0,2057.0,72.0,572.0,0.6,400.0,32.0,272.0,1200.0,1290,2.32,16.19
220,Jamnagar,Bhadthar,7.61,880,589.6,0,268.0,113.0,15.0,48.0,0.68,220.0,48.0,41.0,290.0,68,1.45,1.74
221,Jamnagar,Bhatia,7.62,2550,1708.5,0,342.0,468.0,14.0,309.0,2.2,281.0,140.0,71.0,640.0,278,28.17,4.78
222,Jamnagar,Bhogat1,7.34,2025,1356.75,0,220.0,454.0,82.0,121.0,2.2,180.0,116.0,46.0,480.0,240,5.67,4.76
223,Jamnagar,Changa,7.13,1746,1169.82,0,305.0,340.0,64.0,88.0,0.17,250.0,144.0,68.0,640.0,105,0.6,1.8
224,Jamnagar,Dhrol2,7.36,2110,1413.7,0,488.0,369.0,63.0,86.0,0.32,400.0,76.0,83.0,530.0,242,1.56,4.57
225,Jamnagar,Drafa,7.56,1425,954.75,0,329.0,248.0,87.0,24.0,0.69,270.0,80.0,85.0,550.0,75,0.37,1.39
226,Jamnagar,Dudhai2(Jam Dudhai),7.51,950,636.5,0,329.0,71.0,3.0,99.0,0.8,270.0,44.0,28.0,225.0,113,1.44,3.28
227,Jamnagar,Dwarka,7.36,2533,1697.11,0,439.0,574.0,24.0,78.0,0.48,360.0,80.0,111.0,655.0,264,29.52,4.48
228,Jamnagar,Gordhanpur,7.49,1950,1306.5,0,207.0,560.0,4.0,20.0,0.36,170.0,108.0,56.0,500.0,220,2.66,4.28
229,Jamnagar,Falla,7.75,1325,887.75,0,329.0,227.0,2.0,66.0,1.7,270.0,20.0,56.0,280.0,175,0.13,4.55
230,Jamnagar,Humbusar),7.87,1892,1267.64,0,500.0,369.0,2.0,8.0,0.87,410.0,40.0,5.0,120.0,360,30.98,14.29
231,Jamnagar,Hanzarapur),7.07,530,355.1,0,134.0,67.0,1.0,53.0,0.37,110.0,48.0,22.0,210.0,18,8.5,0.54
232,Jamnagar,Haripur2,7.22,1120,750.4,0,305.0,206.0,10.0,13.0,0.53,250.0,92.0,36.0,380.0,83,0.37,1.85
233,Jamnagar,Hadiyana,7.51,818,548.06,0,195.0,50.0,5.0,167.0,0.45,160.0,36.0,56.0,320.0,40,2.39,0.97
234,Jamnagar,Jambuda,7.11,2565,1718.55,0,232.0,702.0,56.0,48.0,0.29,190.0,168.0,128.0,945.0,151,5.25,2.14
235,Jamnagar,Jamnagar2,7.36,940,629.8,0,354.0,92.0,3.0,48.0,0.43,290.0,44.0,36.0,260.0,96,0.65,2.59
236,Jamnagar,Juvanpur,7.23,1555,1041.85,0,354.0,248.0,58.0,81.0,0.36,290.0,60.0,88.0,510.0,125,1.97,2.41
237,Jamnagar,Khajuda,6.98,4630,3102.1,0,305.0,1312.0,57.0,157.0,0.21,250.0,400.0,165.0,1680.0,290,3.19,3.08
238,Jamnagar,Kalawad,7.13,625,418.75,0,183.0,78.0,4.0,47.0,0.4,150.0,40.0,26.0,205.0,48,2.91,1.46
239,Jamnagar,Kalyanpur,7.54,1880,1259.6,0,378.0,340.0,65.0,89.0,3.3,310.0,52.0,73.0,430.0,235,1.44,4.93
240,Jamnagar,Kalyanpur2,7.4,1491,998.97,0,244.0,291.0,83.0,68.0,0.3,200.0,44.0,107.0,550.0,89,0.75,1.65
241,Jamnagar,Kesia,7.43,5555,3721.85,0,214.0,1702.0,28.0,175.0,0.2,176.0,60.0,304.0,1400.0,650,0.87,7.55
242,Jamnagar,Khirsara,7.32,1250,837.5,0,171.0,269.0,46.0,60.0,0.4,140.0,76.0,9.0,225.0,183,0.42,5.3
243,Jamnagar,Kuvadia,7.29,700,469.0,0,281.0,43.0,33.0,28.0,0.49,230.0,62.0,22.0,245.0,47,0.12,1.31
244,Jamnagar,Lalpur1,7.52,1170,783.9,0,220.0,220.0,35.0,64.0,0.38,180.0,76.0,27.0,300.0,128,1.56,3.21
245,Jamnagar,Lambha 1,7.32,1850,1239.5,0,159.0,468.0,1.0,130.0,0.44,130.0,68.0,51.0,380.0,251,3.2,5.6
246,Jamnagar,Mewasha,7.09,788,527.96,0,122.0,191.0,3.0,18.0,0.39,100.0,36.0,27.0,200.0,88,2.49,2.71
247,Jamnagar,Modpar,7.22,925,619.75,0,244.0,142.0,33.0,38.0,0.88,200.0,60.0,19.0,230.0,105,3.02,3.01
248,Jamnagar,Mojap,7.12,6211,4161.37,0,610.0,1482.0,252.0,312.0,0.86,500.0,344.0,195.0,1660.0,660,9.71,7.04
249,Jamnagar,Mota Kalawad,7.48,3010,2016.7,0,305.0,780.0,74.0,102.0,0.23,250.0,334.0,113.0,1300.0,90,1.21,1.09
250,Jamnagar,Motagop,7.23,1055,706.85,0,342.0,99.0,67.0,55.0,0.28,281.0,70.0,61.0,425.0,46,0.12,0.97
251,Jamnagar,Moti Khavdi,7.09,1920,1286.4,0,500.0,234.0,65.0,160.0,0.24,410.0,44.0,126.0,630.0,152,0.27,2.63
252,Jamnagar,Moti Matli,7.53,1830,1226.1,0,293.0,362.0,83.0,93.0,0.56,240.0,48.0,24.0,220.0,321,0.64,9.41
253,Jamnagar,Nikava,7.41,1160,777.2,0,305.0,135.0,100.0,59.0,0.38,250.0,72.0,56.0,410.0,78,0.17,1.67
254,Jamnagar,Pindara1,7.47,1020,683.4,0,207.0,170.0,2.0,93.0,0.9,170.0,60.0,32.0,280.0,101,6.75,2.62
255,Jamnagar,Raval,7.53,3644,2441.48,0,427.0,922.0,44.0,113.0,0.18,350.0,140.0,231.0,1300.0,232,0.85,2.8
256,Jamnagar,Salaya,7.56,1050,703.5,0,305.0,124.0,61.0,55.0,0.39,250.0,80.0,27.0,310.0,93,11.75,2.3
257,Jamnagar,Samrasar1,7.43,1995,1336.65,0,549.0,291.0,27.0,107.0,4.6,450.0,76.0,63.0,450.0,231,33.34,4.73
258,Jamnagar,Seth Vadala,7.23,1555,1041.85,0,415.0,177.0,112.0,91.0,0.32,340.0,124.0,46.0,500.0,127,0.31,2.47
259,Jamnagar,Sumana,7.69,1300,871.0,0,311.0,184.0,68.0,79.0,0.84,255.0,68.0,54.0,390.0,117,0.64,2.58
260,Jamnagar,Toda,7.56,750,502.5,0,256.0,67.0,24.0,50.0,0.63,210.0,52.0,22.0,220.0,73,2.32,2.14
261,Jamnagar,Vad Panchasara,7.28,1957,1311.19,0,256.0,355.0,175.0,113.0,0.36,210.0,164.0,41.0,580.0,177,0.23,3.2
262,Jamnagar,Vadtara,7.39,1250,837.5,0,256.0,220.0,50.0,61.0,0.35,210.0,100.0,24.0,350.0,123,2.82,2.86
263,Jamnagar,Vamansa,7.55,2905,1946.35,0,494.0,610.0,16.0,164.0,2.9,405.0,60.0,63.0,410.0,471,4.81,10.11
264,Jamnagar,Varwada or Varvala,6.98,3950,2646.5,0,549.0,805.0,48.0,323.0,0.49,450.0,300.0,219.0,1650.0,131,15.5,1.4
265,Jamnagar,Vijarkhi,7.46,912,611.04,0,305.0,113.0,7.0,36.0,0.68,250.0,80.0,19.0,280.0,82,0.47,2.13
266,Jamnagar,Vinjhalpur,7.49,1070,716.9,0,354.0,113.0,36.0,50.0,0.45,290.0,96.0,32.0,370.0,73,1.03,1.65
267,Junagadh,Anandpur,8.62,1920,1286.4,0,159.0,504.0,64.0,65.0,0.57,130.0,100.0,105.0,680.0,125,1.41,2.08
268,Junagadh,Arena,6.94,5558,3723.86,0,610.0,1425.0,60.0,210.0,0.11,500.0,72.0,175.0,900.0,830,39.13,12.03
269,Junagadh,Bamanwara,7.44,340,227.8,0,98.0,46.0,5.0,18.0,0.19,80.0,24.0,17.0,130.0,17,1.43,0.65
270,Junagadh,Bantva,8.04,1200,804.0,0,476.0,113.0,12.0,40.0,3.0,390.0,20.0,15.0,110.0,226,0.29,9.37
271,Junagadh,Bhat_Simroli,7.23,1820,1219.4,0,482.0,312.0,11.0,68.0,0.55,395.0,112.0,44.0,460.0,205,6.71,4.16
272,Junagadh,Bilkha,7.45,1560,1045.2,0,311.0,234.0,79.0,110.0,0.47,255.0,80.0,27.0,310.0,195,6.24,4.82
273,Junagadh,Budhecha,6.97,2200,1474.0,0,427.0,418.0,54.0,108.0,0.6,350.0,100.0,95.0,640.0,210,1.14,3.61
274,Junagadh,Chokhli,7.14,1685,1128.95,0,500.0,149.0,163.0,84.0,0.48,410.0,84.0,83.0,550.0,137,0.27,2.54
275,Junagadh,Chorwad,7.04,4890,3276.3,0,702.0,1206.0,77.0,92.0,0.13,576.0,220.0,224.0,1470.0,443,1.69,5.02
276,Junagadh,Galodar,7.77,780,522.6,0,232.0,99.0,6.0,50.0,0.29,190.0,44.0,46.0,300.0,40,1.4,1.0
277,Junagadh,Goraj1,7.83,1150,770.5,0,366.0,121.0,57.0,49.0,1.5,300.0,56.0,56.0,370.0,90,1.69,2.03
278,Junagadh,Junagadh1,6.98,1207,808.69,0,329.0,156.0,48.0,60.0,0.28,270.0,50.0,34.0,265.0,149,1.98,3.98
279,Junagadh,Juthal,7.48,820,549.4,0,207.0,135.0,5.0,44.0,0.37,170.0,60.0,36.0,300.0,48,1.6,1.2
280,Junagadh,Kalej,7.5,2150,1440.5,0,403.0,383.0,30.0,169.0,1.51,331.0,80.0,22.0,290.0,356,2.46,9.09
281,Junagadh,Kanedipur,7.13,880,589.6,0,378.0,64.0,8.0,29.0,0.38,310.0,104.0,7.0,290.0,66,0.24,1.69
282,Junagadh,Kanek,6.66,6701,4489.67,0,610.0,1830.0,23.0,255.0,0.15,500.0,688.0,56.0,1950.0,625,22.29,6.15
283,Junagadh,Kewarda,7.52,1060,710.2,0,342.0,128.0,41.0,45.0,0.33,281.0,68.0,63.0,430.0,44,1.76,0.92
284,Junagadh,Khambalia1,7.61,4830,3236.1,0,732.0,1241.0,20.0,50.0,0.18,600.0,242.0,105.0,1035.0,635,10.16,8.58
285,Junagadh,Khokharda,7.74,3525,2361.75,0,488.0,702.0,145.0,250.0,0.37,400.0,180.0,73.0,750.0,465,1.01,7.38
286,Junagadh,Khorada1,7.74,7880,5279.6,0,244.0,2482.0,14.0,216.0,0.22,200.0,680.0,109.0,2150.0,815,0.39,7.64
287,Junagadh,Khorasa_ Ahir,7.51,1215,814.05,0,171.0,234.0,77.0,72.0,0.49,140.0,124.0,17.0,380.0,105,0.37,2.34
288,Junagadh,Kukaswada,7.66,723,484.41,0,128.0,106.0,40.0,78.0,0.58,105.0,80.0,5.0,220.0,65,1.32,1.91
289,Junagadh,Lohej,7.24,1256,841.52,0,268.0,213.0,73.0,45.0,0.36,220.0,144.0,12.0,410.0,88,20.19,1.89
290,Junagadh,Maktupur1,7.11,3505,2348.35,0,549.0,745.0,155.0,115.0,0.28,450.0,180.0,90.0,820.0,248,300.0,3.77
291,Junagadh,Mangrol,7.51,2575,1725.25,0,366.0,596.0,44.0,98.0,0.27,300.0,120.0,56.0,530.0,325,36.57,6.14
292,Junagadh,Manketara,7.43,1922,1287.74,0,232.0,479.0,64.0,45.0,0.5,190.0,120.0,117.0,780.0,81,5.67,1.26
293,Junagadh,Mendarda1,7.44,2750,1842.5,0,354.0,645.0,134.0,62.0,0.44,290.0,56.0,168.0,830.0,248,0.83,3.74
294,Junagadh,Patla,7.56,660,442.2,0,226.0,71.0,12.0,31.0,0.41,185.0,96.0,5.0,260.0,31,0.29,0.84
295,Junagadh,Saradiya,7.76,2120,1420.4,0,610.0,241.0,54.0,163.0,0.33,500.0,128.0,75.0,630.0,196,0.48,3.4
296,Junagadh,Sepa,7.21,1065,713.55,0,329.0,113.0,65.0,49.0,0.47,270.0,62.0,13.0,210.0,146,0.77,4.38
297,Junagadh,Seriakhan,7.24,1250,837.5,0,305.0,177.0,64.0,67.0,0.5,250.0,100.0,44.0,430.0,82,14.48,1.72
298,Junagadh,Shardagram,7.36,9450,6331.5,0,305.0,3021.0,21.0,204.0,0.21,250.0,280.0,474.0,2650.0,975,8.95,8.23
299,Junagadh,Sil,7.59,700,469.0,0,232.0,78.0,22.0,29.0,0.22,190.0,84.0,15.0,270.0,36,1.08,0.95
300,Junagadh,Sil_ Bandar,7.61,13506,9049.02,0,793.0,4106.0,5.0,213.0,0.19,650.0,224.0,314.0,1850.0,2192,70.34,22.16
