S.N.,DISTRICT,LOCATION,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
452,Porbandar,Bhod,7.12,1310,877.7,0,342.0,199.0,54.0,52.0,0.52,281.0,88.0,17.0,290.0,164,2.79,4.19
453,Porbandar,Degam,7.95,2135,1430.45,0,207.0,532.0,22.0,123.0,2.0,170.0,52.0,49.0,330.0,276,2.69,6.61
454,Porbandar,Hanumangadh1,7.23,3412,2286.04,0,488.0,780.0,39.0,147.0,1.2,400.0,100.0,207.0,1100.0,251,4.25,3.29
455,Porbandar,Kadegi,7.42,12250,8207.5,0,427.0,3546.0,3.0,754.0,0.43,350.0,38.0,840.0,3550.0,1173,27.14,8.56
456,Porbandar,Kandorna_Rana,7.21,3580,2398.6,0,976.0,574.0,50.0,124.0,1.8,801.0,40.0,195.0,900.0,405,2.28,5.87
457,Porbandar,Khambodar,7.61,1660,1112.2,0,439.0,269.0,18.0,65.0,1.4,360.0,44.0,51.0,320.0,228,10.25,5.54
458,Porbandar,Kolikhada village-2,7.78,1772,1187.24,0,732.0,35.0,47.0,192.0,3.4,600.0,24.0,32.0,190.0,330,0.98,10.41
459,Porbandar,Kuchhadi,7.43,4221,2828.07,0,976.0,752.0,27.0,177.0,1.1,801.0,100.0,97.0,650.0,603,105.78,10.28
460,Porbandar,Kutiyana1,7.23,390,261.3,0,183.0,35.0,4.0,20.0,0.88,150.0,36.0,15.0,150.0,33,4.12,1.17
461,Porbandar,Miyani,7.22,2074,1389.58,0,488.0,277.0,170.0,86.0,0.16,400.0,52.0,12.0,180.0,361,46.27,11.7
462,Porbandar,Mocha,7.18,6800,4556.0,0,366.0,2199.0,14.0,28.0,0.09,300.0,220.0,298.0,1775.0,751,30.66,7.75
463,Porbandar,Mojiwana,7.41,1340,897.8,0,403.0,177.0,21.0,65.0,0.73,331.0,24.0,41.0,230.0,201,1.58,5.76
464,Porbandar,Navibandar,7.12,810,542.7,0,195.0,121.0,39.0,44.0,0.42,160.0,40.0,27.0,210.0,80,7.16,2.4
465,Porbandar,Oddar(Gosa),7.52,8810,5902.7,0,366.0,2624.0,30.0,440.0,0.63,300.0,100.0,420.0,1975.0,1125,42.0,11.01
466,Porbandar,Palkhada1,7.36,2950,1976.5,0,354.0,660.0,117.0,178.0,0.5,290.0,44.0,133.0,655.0,363,40.89,6.17
467,Porbandar,Pata(पाता),7.63,1010,676.7,0,305.0,135.0,9.0,55.0,0.48,250.0,40.0,39.0,260.0,110,3.46,2.97
468,Porbandar,Porbandar1,7.16,1410,944.7,0,451.0,227.0,4.0,103.0,0.93,370.0,40.0,34.0,240.0,230,26.43,6.45
469,Porbandar,Ranavav2,7.15,1160,777.2,0,305.0,191.0,71.0,37.0,0.56,250.0,20.0,86.0,405.0,95,1.65,2.05
470,Porbandar,Ratadi,7.87,2810,1882.7,0,451.0,574.0,25.0,194.0,1.3,370.0,32.0,51.0,290.0,524,6.06,13.38
471,Porbandar,Ratia,7.15,2801,1876.67,0,329.0,652.0,101.0,121.0,0.35,270.0,24.0,119.0,550.0,293,160.0,5.43
472,Porbandar,Simar,7.38,460,308.2,0,49.0,50.0,104.0,33.0,0.42,40.0,24.0,24.0,160.0,30,2.26,1.03
473,Porbandar,Tukda(Gosa),7.61,1302,872.34,0,268.0,184.0,116.0,76.0,0.31,220.0,44.0,27.0,220.0,170,49.43,4.98
474,Porbandar,Visavada,7.46,1730,1159.1,0,232.0,362.0,16.0,141.0,1.91,190.0,56.0,64.0,405.0,197,16.58,4.26
475,Rajkot,Goghavadar,7.04,1171,785.0,0,220.0,184.0,82.0,115.0,0.82,180.0,92.184,54.0,450.0,89,2.64,1.8
476,Rajkot,kamlapur 1,7.02,2705,1812.0,0,73.0,716.0,135.0,176.0,0.54,60.0,240.48,36.0,751.0,295,2.4,4.7
477,Rajkot,Kalithad 1,7.38,1212,812.0,0,146.0,277.0,31.0,77.0,0.59,120.0,104.208,29.0,380.0,98,0.56,2.2
478,Rajkot,Lalavadar,7.5,656,440.0,0,317.0,43.0,16.0,21.0,0.67,260.0,60.12,27.0,260.0,43,0.75,1.2
479,Rajkot,Bhadla,7.02,2040,1367.0,0,171.0,482.0,96.0,127.0,0.45,140.0,124.248,95.0,701.0,170,2.2,2.8
480,Rajkot,Movaiya,7.19,8752,5864.0,0,256.0,2652.0,168.0,615.0,0.74,210.0,573.0,467.0,3353.0,690,0.72,5.2
481,Rajkot,Motadadva,7.4,1515,1015.0,0,195.0,355.0,60.0,120.0,0.5,160.0,120.0,83.0,641.0,85,3.4,1.5
482,Rajkot,Upleta,7.83,2630,1762.0,0,720.0,468.0,36.0,60.0,3.1,590.0,28.0,27.0,180.0,565,0.88,18.3
483,Rajkot,Virnagar,7.99,2167,1452.0,0,427.0,489.0,34.0,95.0,0.62,350.0,52.0,122.0,631.0,265,0.36,4.6
484,Rajkot,Dhorajee,7.63,645,432.0,0,146.0,121.0,5.8,37.0,0.35,120.0,40.0,29.0,220.0,52,3.2,1.5
485,Rajkot,Jamvadi,7.43,729,488.0,0,183.0,135.0,4.8,40.0,0.5,150.0,48.0,29.0,240.0,62,3.6,1.7
486,Rajkot,Ganod,7.68,6006,4024.0,0,464.0,1432.0,27.0,694.0,2.9,380.0,128.0,122.0,821.0,1125,1.9,17.1
487,Rajkot,Targhari,7.78,657,440.0,0,220.0,99.0,4.8,33.0,0.81,180.0,36.0,29.0,210.0,66,1.3,2.0
488,Rajkot,Chordi,7.47,1199,803.0,0,244.0,206.0,102.0,51.0,0.75,200.0,112.0,41.0,450.0,70,0.37,1.4
489,Rajkot,kamlapur,7.0,2702,1810.0,0,73.0,716.0,125.0,172.0,0.59,60.0,253.0,29.0,751.0,292,2.3,4.6
490,Rajkot,Khirsara,7.14,1450,972.0,0,415.0,241.0,6.4,80.0,0.1,340.0,100.0,68.0,530.0,93,3.9,1.8
491,Rajkot,Dadiya,7.56,850,570.0,0,134.0,106.0,102.0,83.0,0.4,110.0,52.0,41.0,300.0,56,0.83,1.4
492,Rajkot,Vinchchiya,7.38,1778,1191.0,0,342.0,291.0,128.0,123.0,0.66,280.0,136.0,58.0,580.0,150,2.2,2.7
493,Rajkot,Halenda,7.49,1767,1184.0,0,342.0,333.0,48.0,121.0,0.46,280.0,64.0,114.0,631.0,122,4.8,2.1
494,Rajkot,Khamta,7.87,2246,1505.0,0,329.0,383.0,93.0,228.0,0.53,270.0,100.0,63.0,510.0,259,6.1,5.0
495,Rajkot,Sardhar 2,7.72,1735,1162.0,0,610.0,184.0,37.0,84.0,0.38,500.0,64.0,46.0,350.28,185,74.0,4.3
496,Rajkot,Jasapar,7.69,1054,706.0,0,73.0,170.0,82.0,117.0,0.33,60.0,68.136,39.0,330.264,72,0.8,1.7
497,Rajkot,Ranpur,7.46,2019,1353.0,0,159.0,539.0,24.0,121.0,0.3,130.0,204.408,68.0,790.632,95,0.43,1.4
498,Rajkot,Jasdan 2,7.64,867,581.0,0,281.0,99.0,23.0,46.0,0.34,230.0,76.0,32.0,320.256,47,0.56,1.1
499,Rajkot,Paddhari,7.49,5749,3852.0,0,464.0,1347.0,119.0,586.0,0.82,380.0,220.0,139.0,1120.9,793,1.4,10.3
500,Rajkot,Ribda,7.41,2327,1559.0,0,244.0,674.0,10.0,76.0,0.37,200.0,224.0,68.0,840.672,148,15.0,2.2
501,Sabarkantha,Boriya,7.6,2784,1865.28,0,403.0,483.0,148.0,282.0,0.67,331.0,152.0,122.0,880.0,266,1.2,3.9
502,Sabarkantha,Umedpura,7.9,1544,1034.48,0,488.0,199.0,72.0,97.0,1.6,400.0,64.0,78.0,480.0,166,0.7,3.29
503,Sabarkantha,Harsol1,7.8,1456,975.52,0,488.0,156.0,73.0,119.0,2.1,400.0,60.0,41.0,320.0,199,0.96,4.84
504,Sabarkantha,varvada,7.8,2334,1563.78,0,732.0,412.0,15.0,47.0,1.5,600.0,120.0,112.0,760.0,206,12.9,3.25
505,Sabarkantha,Kesarpura(Mayal),7.92,1657,1110.19,0,366.0,199.0,146.0,193.0,2.0,300.0,60.0,51.0,360.0,235,0.44,5.39
506,Sabarkantha,Virpur_1(Himmat),7.8,593,397.31,0,244.0,36.0,33.0,15.0,0.81,200.0,12.0,51.0,240.0,27,0.39,0.76
507,Sabarkantha,Gadha1,7.87,2875,1926.25,0,476.0,511.0,147.0,190.0,1.8,390.0,148.0,27.0,480.0,452,2.3,8.97
508,Sabarkantha,Bhadreshwar(Daramli),7.74,2470,1654.9,0,634.0,355.0,44.0,179.0,1.9,520.0,72.0,68.0,460.0,364,1.57,7.38
509,Sabarkantha,Virpur2,7.86,1910,1279.7,0,354.0,341.0,64.0,180.0,2.2,290.0,68.0,29.0,290.0,338,3.59,8.63
510,Sabarkantha,Sabalwad,7.64,1186,794.62,0,342.0,121.0,76.0,128.0,2.3,281.0,108.0,24.0,370.0,117,1.14,2.64
511,Sabarkantha,Chandap_DW,7.76,1754,1175.18,0,329.0,376.0,50.0,125.0,1.0,270.0,148.0,39.0,530.0,180,5.17,3.4
512,Sabarkantha,Vadali,7.73,1155,773.85,0,244.0,156.0,95.0,86.0,1.4,200.0,112.0,17.0,350.0,102,3.45,2.37
513,Sabarkantha,Silwad,7.6,4722,3163.74,0,561.0,1264.0,91.0,135.0,1.2,460.0,208.0,180.0,1260.0,516,13.98,6.32
514,Sabarkantha,Khedbramha_1,7.65,3750,2512.5,0,256.0,966.0,135.0,126.0,1.2,210.0,384.0,73.0,1260.0,292,2.36,3.58
515,Sabarkantha,Matoda,7.5,3071,2057.57,0,390.0,738.0,68.0,159.0,0.64,320.0,240.0,54.0,820.0,317,24.3,4.81
516,Sabarkantha,Hingatiya,7.69,2306,1545.02,0,464.0,398.0,43.0,139.0,2.28,381.0,112.0,88.0,640.0,251,7.65,4.31
517,Sabarkantha,Poshina2,7.71,1320,884.4,0,488.0,128.0,42.0,110.0,1.29,400.0,108.0,44.0,450.0,113,3.5,2.32
518,Sabarkantha,Idar,8.1,1565,1048.55,0,549.0,199.0,35.0,99.0,2.33,450.0,84.0,44.0,390.0,209,4.76,4.6
519,Sabarkantha,Mathasuliya,7.7,1842,1234.14,0,293.0,284.0,185.0,186.0,0.7,240.0,152.0,17.0,450.0,203,0.83,4.16
520,Sabarkantha,kherwada,7.79,690,462.3,0,195.0,92.0,1.6,45.0,0.6,160.0,68.0,7.3,200.0,57,1.66,1.75
521,Sabarkantha,Atarsumba_2,7.75,984,659.28,0,244.0,142.0,43.0,89.0,0.52,200.0,100.0,12.0,300.0,90,2.28,2.26
522,Sabarkantha,Abhapur,7.22,512,343.04,0,268.0,36.0,3.4,3.0,0.38,220.0,64.0,12.0,210.0,24,9.1,0.72
523,Sabarkantha,Kesharpura,7.44,1337,895.79,0,305.0,213.0,123.0,68.0,0.63,250.0,84.0,75.0,520.0,67,1.6,1.28
524,Sabarkantha,Choriwad,7.45,2004,1342.68,0,293.0,426.0,165.0,127.0,0.6,240.0,280.0,34.0,840.0,77,2.1,1.16
525,Sabarkantha,Revas,7.58,1820,1219.4,0,342.0,284.0,185.0,140.0,0.91,281.0,168.0,73.0,720.0,87,0.97,1.41
526,Surat,Bhatkol,7.04,764,511.88,0,366.0,57.0,2.0,37.0,0.22,300.0,68.0,36.0,320.0,44,2.5,1.06
527,Surat,Kathor,8.07,972,651.24,0,427.0,85.0,19.0,33.0,0.26,350.0,72.0,49.0,380.0,61,22.0,1.36
528,Surat,Mota,7.87,1050,703.5,0,464.0,92.0,1.0,61.0,0.88,381.0,80.0,41.0,370.0,98,0.95,2.21
529,Surat,Ten-bardoli,7.86,550,368.5,0,281.0,36.0,2.0,8.0,0.29,230.0,76.0,19.0,270.0,15,0.21,0.42
530,Surat,Jiav,7.93,442,296.14,0,134.0,36.0,65.0,19.0,0.18,110.0,48.0,19.0,200.0,11,0.43,0.35
531,Surat,Sultanabad,7.7,900,603.0,0,293.0,92.0,44.0,43.0,0.14,240.0,92.0,22.0,320.0,58,13.0,1.41
532,Surat,Gaviyar,7.79,478,320.26,0,183.0,36.0,35.0,12.0,0.26,150.0,60.0,15.0,210.0,16,0.3,0.48
533,Surat,Kodad,7.79,608,407.36,0,171.0,57.0,49.0,38.0,0.31,140.0,72.0,22.0,270.0,16,0.79,0.43
534,Surat,Kasal,7.93,660,442.2,0,268.0,57.0,29.0,37.0,0.21,220.0,76.0,29.0,310.0,19,0.0,0.47
535,Surat,Nogama,8.22,625,418.75,0,317.0,43.0,7.0,19.0,0.16,260.0,52.0,2.0,140.0,88,0.74,3.25
536,Surat,Ushker,8.07,538,360.46,0,293.0,28.0,1.0,5.0,0.22,240.0,56.0,29.0,260.0,16,0.74,0.44
537,Surat,Dungri,7.85,340,227.8,0,134.0,28.0,16.0,15.0,0.24,110.0,48.0,10.0,160.0,11,0.63,0.41
538,Surat,Paneshwar,8.0,455,304.85,0,232.0,21.0,2.0,33.0,0.38,190.0,40.0,7.0,130.0,54,0.98,2.05
539,Surat,Katradevi,7.86,390,261.3,0,195.0,21.0,8.0,18.0,0.31,160.0,52.0,12.0,180.0,12,0.28,0.4
540,Surat,Juna umarpada,7.95,646,432.82,0,317.0,43.0,9.0,24.0,0.39,260.0,68.0,34.0,310.0,18,0.17,0.45
541,Surat,Chavada2,7.86,365,244.55,0,134.0,21.0,39.0,33.0,0.35,110.0,40.0,19.0,180.0,10,0.13,0.33
542,Surat,Sarkui,8.04,430,288.1,0,244.0,21.0,2.0,13.0,0.34,200.0,52.0,17.0,200.0,18,0.22,0.55
543,Surat,Khervada,7.9,450,301.5,0,195.0,36.0,20.0,28.0,0.27,160.0,52.0,19.0,210.0,16,1.51,0.49
544,Surat,Mandvi2,8.0,515,345.05,0,220.0,43.0,27.0,15.0,0.27,180.0,60.0,22.0,240.0,13,0.17,0.36
545,Surat,Moti Chher,8.04,470,314.9,0,232.0,28.0,7.0,13.0,0.28,190.0,52.0,24.0,230.0,13,0.0,0.37
546,Surat,Jesingpura [sg],7.98,652,436.84,0,281.0,64.0,8.0,29.0,0.28,230.0,80.0,29.0,320.0,16,0.0,0.38
547,Surat,Uchchhal1,7.97,838,561.46,0,342.0,57.0,11.0,55.0,0.57,281.0,108.0,19.0,350.0,38,0.94,0.88
548,Surat,Nizar1,8.05,865,579.55,0,329.0,107.0,17.0,42.0,0.36,270.0,84.0,49.0,410.0,25,0.25,0.54
549,Surat,Sarbhon,8.03,815,546.05,0,342.0,78.0,18.0,29.0,0.36,281.0,92.0,32.0,360.0,27,0.13,0.62
550,Surat,Allu,7.65,855,572.85,0,390.0,71.0,0.0,16.0,0.0,320.0,48.0,17.0,190.0,107,15.0,3.38
551,Surat,Valod,8.16,2675,1792.25,0,634.0,419.0,24.0,156.0,0.13,520.0,48.0,46.0,310.0,400,17.0,9.88
552,Surat,Kelkui,8.03,1173,785.91,0,586.0,85.0,8.0,58.0,0.1,481.0,72.0,36.0,330.0,104,65.0,2.48
553,Surat,Bedchit,8.36,995,666.65,48,354.0,99.0,3.0,20.0,0.23,370.0,104.0,19.0,340.0,84,5.75,1.97
554,Surat,Vaheval,8.25,1435,961.45,0,708.0,92.0,10.0,72.0,1.07,581.0,28.0,44.0,250.0,245,2.13,6.74
555,Surat,Vyara1,7.66,989,662.63,0,378.0,107.0,10.0,45.0,0.57,310.0,104.0,34.0,400.0,51,1.5,1.11
556,Surendranagar,Dhandhalpur 1,7.79,865,580.0,0,305.0,78.0,9.2,26.0,0.46,250.0,44.0,32.0,240.0,72,4.9,2.0
557,Surendranagar,Kherva,7.63,1473,987.0,0,171.0,297.78,0.72,169.0,0.7,140.0,68.0,27.0,280.0,220,6.0,5.7
558,Surendranagar,Moti Moladi,7.56,9627,6450.0,0,232.0,2921.0,170.0,550.0,0.73,190.0,673.0,666.0,4424.0,342,3.4,2.2
559,Surendranagar,Muli,7.95,5506,3689.02,0,561.0,1489.0,55.0,9.8,3.6,460.0,152.0,109.0,831.0,775,2.8,11.7
560,Surendranagar,Bajana,7.91,854,572.18,0,281.0,77.99,2.4,69.0,0.54,230.0,64.0,10.0,200.0,89,4.7,2.7
561,Surendranagar,Thangadh,7.38,5537,3710.0,0,281.0,1305.0,80.0,600.0,0.22,230.0,385.0,85.0,1311.0,612,1.4,7.4
562,Surendranagar,Surendranagar,7.99,1518,1017.06,0,342.0,199.0,14.0,249.0,0.8,280.0,40.0,54.0,320.0,222,0.12,5.4
563,Surendranagar,Anindra,7.42,464,311.0,0,171.0,21.0,3.1,39.0,0.77,140.0,48.0,7.3,150.0,30,5.9,1.1
564,Surendranagar,Sara,7.44,2346,1572.0,0,244.0,539.0,17.0,200.0,1.1,200.0,100.0,39.0,410.0,327,3.1,7.0
565,Surendranagar,Jhinjhuvada,7.52,900,603.0,0,427.0,64.0,1.6,33.0,0.74,350.0,52.0,32.0,260.0,85,20.0,2.3
566,Surendranagar,Sudamba,7.86,3022,2025.0,0,390.0,546.0,207.0,255.0,0.76,320.0,261.0,85.0,1001.0,211,3.3,2.9
567,Surendranagar,Baman Bor,7.5,1458,977.0,0,366.06,177.0,85.0,138.0,0.73,300.0,152.0,44.0,560.448,79,1.6,1.5
568,Surendranagar,Lakhtar,7.63,830,556.0,0,353.858,71.0,2.7,39.0,2.1,290.0,64.0,15.0,220.176,89,9.4,2.6
569,Surendranagar,Tarnetar,7.54,4522,3030.0,0,292.848,1170.0,12.0,378.0,0.84,240.0,156.0,83.0,730.584,674,4.6,10.8
570,Surendranagar,Dhangadhara,7.58,2304,1544.0,0,280.646,383.0,5.9,410.0,0.57,230.0,208.0,66.0,790.632,168,7.4,2.6
571,Surendranagar,Shiyani,7.81,1920,1286.0,0,244.04,383.0,1.0,255.0,0.36,200.0,96.0,29.0,360.288,276,6.4,6.3
572,Surendranagar,Visawadi,7.24,4205,2817.0,0,219.636,1262.0,13.0,163.0,0.31,180.0,393.0,158.0,1631.3,195,28.0,2.1
573,Surendranagar,Sarla,7.49,2095,1404.0,0,512.484,369.0,32.0,54.0,1.8,420.0,148.0,61.0,620.496,170,55.0,3.0
574,Surendranagar,Dhama,8.05,3350,2245.0,0,488.08,510.0,135.0,430.0,2.4,400.0,96.0,85.0,590.472,408,182.0,7.3
575,Vadodara,ONGC,8.59,3301,2211.67,72,683.0,596.0,1.7,140.0,1.5,680.0,20.04,77.824,370.0,587,1.5,13.27
576,Vadodara,Kevda Bag,7.6,700,469.0,0,329.0,50.0,7.1,26.0,0.79,270.0,32.064,19.456,160.0,92,9.8,3.16
577,Vadodara,Masor,7.89,1290,864.3,0,781.0,35.0,2.4,12.0,2.8,641.0,12.024,12.16,80.0,290,1.4,14.1
578,Vadodra,Rasulpura,7.64,975,653.25,0,390.0,113.0,23.0,39.0,0.41,320.0,56.112,68.096,420.0,50,0.82,1.06
579,Vadodra,Saidal,7.65,3063,2052.21,0,403.0,652.0,159.0,158.0,0.85,331.0,80.16,182.4,951.0,264,3.0,3.72
580,Vadodra,Amreshwar,7.86,615,412.05,0,293.0,57.0,0.16,11.0,0.51,240.0,60.12,12.16,200.0,64,0.89,1.97
581,Vadodra,Patiyapura,7.93,1530,1025.1,0,476.0,213.0,71.0,97.0,0.63,390.0,56.112,114.304,610.0,109,0.72,1.92
582,Vadodra,Sinor,8.2,1079,722.93,0,500.0,64.0,45.0,40.0,0.75,410.0,40.08,85.12,450.0,67,0.73,1.37
583,Vadodra,Vega,8.18,1522,1019.74,0,573.0,177.0,8.6,104.0,0.45,470.0,104.208,38.912,420.0,170,31.0,3.61
584,Vadodra,Tundav,7.89,1929,1292.43,0,439.0,305.0,63.0,178.0,1.7,360.0,68.136,38.912,330.0,296,26.0,7.08
585,Vadodra,Juna Somaliya,8.08,1235,827.45,0,366.0,220.0,12.0,32.0,0.79,300.0,40.08,41.344,270.0,166,0.65,4.39
586,Vadodra,Chhaliyar,8.35,1236,828.12,36,586.0,64.0,33.0,19.0,2.0,541.0,20.04,17.024,120.0,254,0.41,10.08
587,Vadodra,Vejpur,8.66,3522,2359.74,96,744.0,681.0,2.1,173.0,2.3,770.0,24.048,55.936,290.0,760,6.4,19.4
588,Valsad,Dharampur 3,7.83,497,332.99,0,195.0,43.0,25.0,23.0,0.28,160.0,48.0,19.0,200.0,34,0.28,1.08
589,Valsad,Awadha,8.15,1396,935.32,0,366.0,284.0,15.0,82.0,0.22,300.0,60.0,95.0,540.0,105,0.22,1.96
590,Valsad,Lakadmal,7.23,714,478.38,0,305.0,71.0,4.0,31.0,5.81,250.0,20.0,56.0,280.0,50,5.81,1.31
591,Valsad,Mandwa,7.89,560,375.2,0,256.0,57.0,6.0,16.0,0.42,210.0,88.0,5.0,240.0,33,0.42,0.92
592,Valsad,Kaparda,8.25,447,299.49,0,195.0,36.0,6.0,19.0,0.66,160.0,44.0,22.0,200.0,20,1.98,0.61
593,Valsad,Chavshala,7.95,566,379.22,0,220.0,64.0,6.0,31.0,0.43,180.0,52.0,19.0,210.0,40,0.33,1.2
594,Valsad,Fali,8.2,432,289.44,0,134.0,50.0,25.0,28.0,0.26,110.0,44.0,17.0,180.0,21,5.21,0.67
595,Valsad,Karwad,8.07,237,158.79,0,73.0,21.0,25.0,21.0,0.3,60.0,32.0,2.0,90.0,17,0.8,0.78
596,Valsad,Balitha (Vapi),8.02,230,154.1,0,73.0,21.0,25.0,17.0,0.11,60.0,20.0,12.0,100.0,8,4.47,0.37
597,Valsad,Bhilad,6.99,356,238.52,0,171.0,28.0,3.0,15.0,0.15,140.0,40.0,15.0,160.0,16,1.36,0.55
598,Valsad,Tumb,7.97,668,447.56,0,281.0,71.0,4.0,4.0,0.22,230.0,56.0,24.0,240.0,45,8.1,1.26
599,Valsad,Umargaon,8.03,641,429.47,0,281.0,57.0,12.0,50.0,0.34,230.0,56.0,22.0,230.0,59,0.54,1.68
600,Valsad,Kanadu,7.63,943,631.81,0,366.0,114.0,24.0,58.0,0.28,300.0,80.0,49.0,400.0,57,0.24,1.25
601,Valsad,Udwada,8.07,820,549.4,0,220.0,128.0,30.0,75.0,0.44,180.0,64.0,44.0,340.0,54,0.49,1.27
