S.N.,DISTRICT,LOCATION,LATITUDE,LONGITUDE,PH,EC,TDS,TH,CO3,HCO3,CL,S04,NO3,F,ALK,CA,MG,NA,K,SIO2,SAR
489.0,Surat,Miyawadi,21.22389,73.22722,7.15,1346,902,530.0,0.0,573.0,135.0,28.0,58.25,1.19,470.0,96.0,71.0,94.0,9.01,66.0,1.78
490.0,Surat,Kasal,21.28333,73.23333,7.5,858,575,430.0,0.0,281.0,85.0,61.0,55.0,0.26,230.0,84.0,54.0,21.0,0.38,56.0,0.44
491.0,Surat,Nogama,21.31667,73.13333,7.5,672,450,260.0,0.0,232.0,64.0,43.0,42.0,0.35,190.0,56.0,29.0,51.0,0.36,54.0,1.38
492.0,Surat,Ushker,21.31389,73.15833,7.5,605,405,200.0,0.0,220.0,43.0,33.0,32.45,0.31,180.0,40.0,24.0,51.0,1.74,47.0,1.57
493.0,Surat,Dungri,21.40833,73.13333,7.9,1736,1163,500.0,0.0,635.0,241.0,42.0,40.0,0.75,520.0,112.0,54.0,187.0,7.18,70.0,3.64
494.0,Surat,Surat(Gaviyar),21.175,72.79167,7.4,648,434,210.0,0.0,293.0,35.0,19.0,4.39,0.37,240.0,80.0,2.0,37.0,12.0,29.0,1.11
495.0,Surat,Sultanabad,21.09167,72.725,8.0,1028,689,320.0,0.0,403.0,113.0,53.0,19.23,0.14,330.0,20.0,66.0,100.0,19.0,32.0,2.43
496.0,Surat,Olpad2,21.34167,72.75833,7.7,1406,942,200.0,0.0,598.0,142.0,48.0,28.07,0.62,490.0,20.0,36.0,196.0,115.0,33.0,6.03
497.0,Surat,Sayan,21.30556,72.91083,7.72,1999,1339,651.0,0.0,244.0,475.0,216.0,17.37,0.29,200.0,44.0,131.0,206.0,1.25,84.0,3.51
498.0,Surat,Kathor,21.29167,72.92917,7.9,1766,1183,530.0,0.0,342.0,184.0,377.0,35.01,0.4,280.0,36.0,107.0,198.0,1.1,42.0,3.74
499.0,Surendranagar,Olak,22.92778,71.88611,7.65,495,332,100.0,0.0,171.0,57.0,29.0,1.2,0.76,140.0,36.0,2.0,61.0,8.8,44.0,2.65
500.0,Surendranagar,Lakhtar,22.85472,71.78667,7.73,595,399,130.0,0.0,268.0,50.0,27.0,2.8,1.66,220.0,40.0,7.0,80.0,7.3,26.0,3.05
501.0,Surendranagar,Dedarda,22.78333,71.73611,7.72,651,436,160.0,0.0,293.0,50.0,22.0,8.4,1.1,240.0,56.0,5.0,85.0,6.9,35.0,2.92
502.0,Surendranagar,Tavi 1,22.72229,71.85795,7.43,214,143,60.0,0.0,85.0,21.0,7.0,5.9,0.27,70.0,16.0,5.0,25.0,2.3,23.0,1.4
503.0,Surendranagar,Shiyani,22.6625,71.82972,7.85,1113,746,90.0,0.0,134.0,213.0,135.0,1.3,0.87,110.0,20.0,10.0,205.0,5.7,18.0,9.4
504.0,Surendranagar,Ghaghretiya,22.62583,71.82861,7.79,2251,1508,230.0,0.0,220.0,355.0,420.0,3.6,1.5,180.0,32.0,36.0,410.0,13.0,28.0,11.75
505.0,Surendranagar,Borana,22.51417,71.83806,7.74,4989,3343,530.0,0.0,146.0,787.0,1282.0,7.9,0.51,120.0,88.0,75.0,882.0,1.9,21.0,16.66
506.0,Surendranagar,Vanala,22.43417,71.92167,7.32,1407,943,220.0,0.0,98.0,355.0,125.0,14.0,0.42,80.0,52.0,22.0,239.0,4.6,32.0,7.01
507.0,Surendranagar,Chuda,22.48639,71.70111,7.51,1767,1184,661.0,0.0,281.0,269.0,99.0,273.0,0.6,230.0,160.0,63.0,110.0,0.9,62.0,1.86
508.0,Surendranagar,Navi Morvad,22.53566,71.57473,7.47,2694,1805,701.0,0.0,415.0,581.0,136.0,40.0,0.75,340.0,120.0,97.0,300.0,0.8,70.0,4.93
509.0,Surendranagar,Sudamda,22.44583,71.48806,7.42,3316,2222,971.0,0.0,488.0,603.0,210.0,237.0,0.33,400.0,228.0,97.0,328.0,2.3,62.0,4.58
510.0,Surendranagar,Nava Sudamda,22.53972,71.43583,7.73,6355,4258,861.0,0.0,427.0,1276.0,888.0,145.0,4.5,350.0,124.0,134.0,1010.0,1.1,32.0,14.97
511.0,Surendranagar,Moti Moladi,22.41778,71.10417,7.12,6765,4533,3253.0,0.0,268.0,1985.0,520.0,106.0,0.75,220.0,437.0,525.0,231.0,0.9,76.0,1.76
433.0,Rajkot,Patan Vav,21.65898,70.3372,8.15,885,593,320.0,0.0,378.0,85.0,26.0,21.0,0.32,310.0,108.0,12.0,67.0,20.0,49.0,1.63
434.0,Rajkot,Upleta,21.72944,70.25194,8.37,2424,1624,150.0,60.0,635.0,454.0,39.0,37.0,2.4,620.0,24.0,22.0,523.0,0.74,40.0,18.57
435.0,Rajkot,Ganod,21.68861,70.16917,7.88,6088,4079,851.0,0.0,329.0,1453.0,940.0,36.0,2.4,270.0,156.0,112.0,1116.0,0.48,44.0,16.64
436.0,Rajkot,Dhoraji 1,21.76333,70.46583,7.82,1662,1114,711.0,0.0,207.0,376.0,65.0,96.0,0.31,170.0,168.0,71.0,80.0,0.5,57.0,1.31
437.0,Rajkot,Taravada,21.80611,70.47889,7.69,2452,1643,1081.0,0.0,159.0,539.0,140.0,277.0,0.26,130.0,240.0,117.0,94.0,0.31,55.0,1.24
438.0,Rajkot,Jasapar,21.88472,70.48806,8.17,952,638,360.0,0.0,256.0,113.0,63.0,84.0,0.35,210.0,88.0,34.0,74.0,0.39,58.0,1.7
439.0,Rajkot,Umrali,21.90861,70.60194,7.89,1786,1197,651.0,0.0,195.0,383.0,150.0,155.0,0.6,160.0,136.0,75.0,156.0,0.36,47.0,2.66
440.0,Rajkot,Kalithad,22.01889,70.65167,7.83,1604,1075,721.0,0.0,146.0,347.0,165.0,105.0,0.22,120.0,164.0,75.0,77.0,0.22,48.0,1.25
441.0,Rajkot,Daliya,22.09583,70.7325,8.18,728,488,280.0,0.0,195.0,85.0,38.0,51.0,0.34,160.0,64.0,29.0,43.0,1.2,40.0,1.12
442.0,Rajkot,Ribda,22.12667,70.77833,7.82,930,623,350.0,0.0,244.0,156.0,46.0,20.0,0.2,200.0,76.0,39.0,70.0,0.62,55.0,1.63
443.0,Rajkot,Targhari,22.38306,70.66944,7.84,2207,1479,811.0,0.0,232.0,482.0,238.0,101.0,0.43,190.0,140.0,112.0,190.0,0.46,63.0,2.9
444.0,Rajkot,Khamta,22.46611,70.56028,8.08,1891,1267,500.0,0.0,549.0,248.0,155.0,74.0,0.55,450.0,80.0,73.0,250.0,2.7,75.0,4.86
445.0,Rajkot,Moviya,22.45639,70.62528,7.64,7017,4701,3102.0,0.0,171.0,2233.0,282.0,315.0,0.33,140.0,681.0,340.0,366.0,1.1,59.0,2.86
446.0,Rajkot,Hadmatiya,22.68222,70.81139,7.75,2952,1978,1061.0,0.0,146.0,737.0,206.0,86.0,0.25,120.0,269.0,95.0,192.0,0.94,56.0,2.56
447.0,Sabarkantha,Boriya,23.26707,72.92394,7.57,2109,1413,450.0,0.0,256.0,496.0,158.0,105.0,0.44,210.0,76.0,63.0,325.0,1.2,50.0,6.66
448.0,Sabarkantha,Umedpura,23.33343,72.9868,7.99,1393,933,380.0,0.0,415.0,220.0,42.0,89.0,1.4,340.0,40.0,68.0,172.0,0.3,22.0,3.84
449.0,Sabarkantha,Harsol1,23.37483,73.01564,8.04,1194,800,250.0,0.0,476.0,99.0,49.0,93.0,1.7,390.0,36.0,39.0,180.0,0.54,22.0,4.95
450.0,Sabarkantha,Kesarpura(Mayal),23.3462,72.95824,8.18,1420,951,310.0,0.0,329.0,248.0,68.0,96.0,1.7,270.0,40.0,51.0,206.0,0.19,19.0,5.09
451.0,Sabarkantha,Virpur_1(Himmat),23.63929,72.94627,8.04,365,245,140.0,0.0,146.0,14.0,15.0,33.0,0.63,120.0,44.0,7.0,22.0,0.21,20.0,0.81
452.0,Sabarkantha,Gadha1,23.69362,72.93774,7.84,2419,1621,390.0,0.0,256.0,482.0,268.0,92.0,1.6,210.0,80.0,46.0,385.0,1.74,37.0,8.48
453.0,Sabarkantha,Bhadreshwar (Daramli),23.7452,72.98319,8.42,1910,1280,280.0,60.0,293.0,333.0,194.0,45.0,2.0,340.0,28.0,51.0,336.0,1.1,32.0,8.73
454.0,Sabarkantha,Sabalwad,23.8709,72.95335,8.04,1005,673,270.0,0.0,220.0,128.0,83.0,77.0,4.4,180.0,60.0,29.0,108.0,1.2,42.0,2.86
455.0,Sabarkantha,Chandap_DW,23.92282,72.84433,7.76,2183,1463,681.0,0.0,171.0,567.0,110.0,92.0,0.69,140.0,152.0,73.0,195.0,4.17,54.0,3.25
456.0,Sabarkantha,Wadali,23.9169,73.03726,7.98,1199,803,350.0,0.0,146.0,213.0,67.0,92.0,0.94,120.0,80.0,36.0,107.0,2.8,42.0,2.49
457.0,Sabarkantha,Matoda,24.1115,73.00773,7.68,2236,1498,831.0,0.0,207.0,560.0,170.0,118.0,0.24,170.0,180.0,92.0,150.0,29.0,72.0,2.26
458.0,Sabarkantha,Poshina2,24.36841,73.03111,7.86,1208,809,380.0,0.0,317.0,184.0,98.0,50.0,0.88,260.0,60.0,56.0,115.0,4.0,50.0,2.56
459.0,Sabarkantha,Hingatiya,24.14659,73.01063,8.04,2028,1359,600.0,0.0,305.0,425.0,216.0,42.0,1.5,250.0,72.0,102.0,216.0,7.3,44.0,3.83
460.0,Sabarkantha,Khedbramha_1,24.05409,73.02759,7.56,3227,2162,1241.0,0.0,195.0,915.0,198.0,120.0,0.8,160.0,377.0,73.0,200.0,2.0,61.0,2.47
461.0,Sabarkantha,Silwad,24.0128,73.1241,7.84,4432,2969,1191.0,0.0,256.0,1333.0,213.0,123.0,0.96,210.0,140.0,204.0,510.0,10.0,59.0,6.43
462.0,Sabarkantha,Punasan,23.66486,73.17127,7.76,518,347,120.0,0.0,159.0,50.0,27.0,30.0,0.99,130.0,32.0,10.0,66.0,0.37,32.0,2.62
463.0,Sabarkantha,Mathasuliya,23.60373,73.13662,7.57,1558,1044,410.0,0.0,256.0,213.0,130.0,180.0,0.8,210.0,124.0,24.0,150.0,59.0,30.0,3.22
464.0,Sabarkantha,Kherwada,23.95178,73.28306,7.75,716,480,220.0,0.0,220.0,99.0,29.0,1.1,0.87,180.0,60.0,17.0,64.0,1.8,36.0,1.88
465.0,Sabarkantha,Atarsumba1,23.97735,73.22355,7.64,838,561,280.0,0.0,159.0,135.0,34.0,57.0,0.73,130.0,72.0,24.0,59.0,1.9,33.0,1.53
466.0,Sabarkantha,Abhapur,24.00133,73.26901,8.19,438,293,170.0,0.0,220.0,35.0,8.0,2.3,0.95,180.0,40.0,17.0,27.0,8.9,30.0,0.9
467.0,Sabarkantha,Kesharpura,23.90549,73.14643,7.65,1314,880,480.0,0.0,159.0,227.0,80.0,139.0,0.57,130.0,128.0,39.0,72.0,1.6,51.0,1.43
468.0,Sabarkantha,Choriwad,23.89635,73.11744,7.4,2055,1377,861.0,0.0,146.0,447.0,85.0,200.0,1.1,120.0,248.0,58.0,82.0,2.2,45.0,1.22
469.0,Sabarkantha,Revas,23.81991,73.13054,7.62,1725,1156,671.0,0.0,195.0,319.0,65.0,263.0,1.2,160.0,144.0,75.0,94.0,1.3,36.0,1.58
470.0,Sabarkantha,Idar,23.84167,73.03043,8.05,1624,1088,430.0,0.0,525.0,227.0,69.0,12.0,3.9,430.0,76.0,58.0,198.0,5.5,43.0,4.15
471.0,Surat,Bhatkol,21.38028,73.00417,7.93,912,611,320.0,0.0,268.0,142.0,43.0,0.0,0.88,220.0,44.0,51.0,74.0,1.44,26.0,1.8
313.0,Mahisagar,Santrampur1,23.19012,73.90559,7.69,916,614,290.0,0.0,195.0,170.0,49.0,20.0,0.55,160.0,64.0,32.0,84.0,1.1,29.0,2.14
314.0,Mehsana,Maguna,23.57727,72.2904,8.25,3400,2278,1080.0,0.0,805.0,660.0,280.0,3.73,0.46,660.0,48.0,233.0,350.0,28.0,41.0,4.63
315.0,Mehsana,Aasjol,23.51355,72.18144,8.2,493,330,210.0,0.0,207.0,50.0,14.0,23.0,0.17,170.0,60.0,15.0,24.0,8.0,20.0,0.72
316.0,Mehsana,Delwada Khant,23.54361,72.1119,8.26,2336,1565,460.0,0.0,903.0,277.0,144.0,15.42,0.81,740.0,84.0,61.0,336.0,68.0,45.0,6.8
317.0,Mehsana,Panchot,23.62354,72.33618,8.04,2032,1361,400.0,0.0,549.0,291.0,250.0,6.81,0.22,450.0,76.0,51.0,271.0,90.0,45.0,5.89
318.0,Mehsana,Vidaj,23.24813,72.29752,8.27,1884,1262,340.0,0.0,549.0,320.0,93.0,18.25,0.1,450.0,76.0,36.0,219.0,147.0,59.0,5.15
319.0,Mehsana,Bhandupura,23.72462,72.37779,8.61,1227,822,190.0,48.0,244.0,163.0,76.0,58.0,0.56,280.0,32.0,27.0,215.0,14.0,35.0,6.78
320.0,Mehsana,Shihi,23.79952,72.34738,7.3,713,478,180.0,0.0,305.0,71.0,25.0,22.11,0.33,250.0,40.0,19.0,68.0,49.0,22.0,2.22
321.0,Mehsana,Dasaj,23.84459,72.44649,7.8,3760,2519,510.0,0.0,439.0,859.0,237.0,80.0,0.1,360.0,92.0,68.0,549.0,110.0,25.0,10.57
322.0,Mehsana,Rampura,23.88393,72.5198,7.9,1096,734,400.0,0.0,439.0,121.0,54.0,15.71,0.26,360.0,88.0,44.0,94.0,1.95,36.0,2.04
323.0,Mehsana,Tarabh,23.7592,72.45704,7.82,768,515,260.0,0.0,305.0,107.0,20.0,2.3,0.05,250.0,60.0,27.0,70.0,10.0,32.0,1.89
324.0,Mehsana,Kheralu,23.88725,72.60823,8.18,1610,1079,440.0,0.0,476.0,298.0,60.0,20.71,1.06,390.0,60.0,71.0,208.0,0.69,46.0,4.3
325.0,Mehsana,Timba,23.99066,72.76133,8.2,743,498,320.0,0.0,342.0,64.0,19.0,9.6,0.87,280.0,88.0,24.0,40.0,1.21,42.0,0.97
326.0,Morbi,Bhalgam,22.43556,71.0825,7.57,2095,1404,861.0,0.0,232.0,532.0,102.0,63.0,0.31,190.0,196.0,90.0,84.0,0.6,56.0,1.25
327.0,Morbi,Chhatar,22.50528,70.75306,8.02,1426,955,460.0,0.0,232.0,277.0,114.0,52.0,0.66,190.0,96.0,54.0,140.0,0.45,66.0,2.84
328.0,Morbi,Lajai,22.71583,70.78028,7.53,5723,3834,2372.0,0.0,220.0,1631.0,249.0,286.0,0.66,180.0,481.0,285.0,329.0,2.1,71.0,2.94
329.0,Morbi,Sindhavadar,22.55167,70.89722,8.18,1497,1003,290.0,0.0,317.0,255.0,87.0,74.0,0.7,260.0,44.0,44.0,208.0,0.51,58.0,5.31
330.0,Morbi,Modpar,22.90167,70.66278,8.16,4229,2833,641.0,0.0,317.0,1205.0,184.0,7.5,0.21,260.0,124.0,80.0,669.0,8.6,9.0,11.5
331.0,Morbi,Mota Dahisara,22.96194,70.61361,8.09,1808,1211,450.0,0.0,317.0,404.0,113.0,4.6,0.34,260.0,96.0,51.0,228.0,10.0,30.0,4.67
332.0,Morbi,Sarvad,23.00639,70.70694,7.88,1834,1229,340.0,0.0,366.0,411.0,56.0,2.7,0.54,300.0,56.0,49.0,295.0,5.8,29.0,6.96
333.0,Morbi,Molia,23.08861,70.75694,8.02,472,316,180.0,0.0,244.0,28.0,8.0,2.8,0.36,200.0,48.0,15.0,31.0,10.0,29.0,1.0
334.0,Morbi,Amarnagar,22.93444,70.82417,7.81,7557,5063,1731.0,0.0,329.0,2425.0,162.0,2.2,3.5,270.0,204.0,297.0,1062.0,8.4,16.0,11.1
335.0,Morbi,Morvi,22.83139,70.85278,8.2,1350,905,290.0,0.0,390.0,170.0,85.0,27.0,2.4,320.0,76.0,24.0,190.0,3.1,35.0,4.85
336.0,Morbi,Nichimandal,22.86111,70.96333,7.88,3296,2208,420.0,0.0,415.0,766.0,125.0,100.0,0.82,340.0,72.0,58.0,563.0,11.0,32.0,11.94
337.0,Morbi,Mathak,22.84278,71.06139,7.85,3435,2301,540.0,0.0,232.0,858.0,170.0,32.0,0.9,190.0,100.0,71.0,520.0,4.8,17.0,9.73
338.0,Morbi,Juna Devaliya 1,23.01111,70.99083,8.12,835,559,210.0,0.0,317.0,92.0,21.0,6.4,0.81,260.0,40.0,27.0,100.0,6.2,22.0,3.0
339.0,Morbi,Jitpur,23.00278,70.89472,8.16,1452,973,280.0,0.0,329.0,269.0,67.0,19.0,2.3,270.0,40.0,44.0,222.0,7.8,20.0,5.77
340.0,Morbi,Halvad 2,23.01917,71.185,7.79,5435,3641,851.0,0.0,378.0,1290.0,683.0,31.0,3.4,310.0,148.0,117.0,975.0,21.0,40.0,14.54
341.0,Narmada,Chikada,21.51401,73.64641,8.28,1050,704,450.0,6.0,153.0,177.0,83.0,65.9,0.29,135.0,144.0,22.0,30.0,2.82,56.0,0.61
342.0,Narmada,Garudeshwar,21.88914,73.65355,8.28,957,641,380.0,72.0,244.0,50.0,37.0,61.3,0.55,320.0,88.0,39.0,45.0,0.68,71.0,0.99
343.0,Narmada,Hirapura,21.86207,73.60232,8.38,864,579,320.0,60.0,195.0,113.0,3.0,14.5,0.53,260.0,108.0,12.0,47.0,4.88,71.0,1.14
344.0,Narmada,Jankh,21.50217,73.49507,8.09,590,395,270.0,0.0,214.0,71.0,12.0,10.3,0.39,175.0,52.0,34.0,11.0,0.24,54.0,0.3
345.0,Narmada,Kanbi pitha,21.57322,73.69625,8.05,570,382,270.0,0.0,183.0,85.0,10.0,13.4,0.26,150.0,56.0,32.0,11.0,0.47,55.0,0.29
346.0,Narmada,Khota amba,21.73258,73.47718,8.02,588,394,260.0,0.0,275.0,43.0,6.0,3.3,0.44,225.0,52.0,32.0,12.0,1.01,53.0,0.33
347.0,Narmada,Namaria,22.0491,73.6235,8.27,805,539,270.0,42.0,329.0,43.0,4.0,1.2,0.21,340.0,48.0,36.0,12.0,78.0,73.0,0.32
348.0,Narmada,Ralda,21.6112,73.63758,8.13,665,446,310.0,0.0,256.0,89.0,2.0,2.3,0.35,210.0,68.0,34.0,9.0,1.21,41.0,0.21
349.0,Narmada,Ringani,21.84144,73.46601,8.28,750,503,340.0,42.0,287.0,43.0,0.0,2.1,0.35,305.0,68.0,41.0,11.0,1.81,41.0,0.26
350.0,Narmada,Salemba 1,21.51625,73.82048,8.05,750,503,240.0,0.0,128.0,149.0,42.0,21.8,0.31,105.0,64.0,19.0,58.0,0.46,51.0,1.63
351.0,Narmada,Umaran,24.49132,73.55166,8.15,725,486,350.0,0.0,195.0,128.0,24.0,0.4,0.24,160.0,60.0,49.0,9.0,1.01,36.0,0.22
273.0,Kutchch,Sukhpar,23.19869,69.60709,7.34,5906,3957,1351.0,0.0,293.0,1099.0,1292.0,42.0,2.0,240.0,341.0,122.0,902.0,5.0,44.0,10.67
274.0,Kutchch,Bhuj,23.24327,69.66415,7.32,1183,793,330.0,0.0,281.0,142.0,143.0,6.6,0.22,230.0,104.0,17.0,104.0,10.0,32.0,2.49
275.0,Kutchch,Habai,23.35487,69.85534,7.61,1442,966,370.0,0.0,317.0,206.0,168.0,5.7,0.77,260.0,60.0,54.0,156.0,9.1,28.0,3.53
276.0,Kutchch,Lodai,23.39703,69.90000,7.45,5224,3500,1121.0,0.0,439.0,1028.0,886.0,5.0,0.86,360.0,136.0,190.0,792.0,23.0,35.0,10.29
277.0,Kutchch,Khavda,23.8375,69.72731,7.42,3827,2564,661.0,0.0,354.0,851.0,410.0,7.7,0.4,290.0,128.0,83.0,612.0,16.0,26.0,10.36
278.0,Kutchch,Devisar,23.40664,69.33391,7.0,7340,4918,1651.0,0.0,268.0,1914.0,730.0,31.0,1.82,220.0,393.0,163.0,952.0,47.0,21.0,10.19
279.0,Kutchch,Mata na Madh,23.54752,68.94839,7.28,1330,891,260.0,0.0,232.0,206.0,135.0,20.0,0.64,190.0,64.0,24.0,161.0,7.3,26.0,4.34
280.0,Kutchch,Lakhpat,23.8233,68.77525,7.54,3212,2152,850.0,0.0,342.0,816.0,128.0,2.0,0.41,280.0,140.0,122.0,350.0,5.2,13.0,5.22
281.0,Kutchch,Moti Cher,23.76901,68.65821,6.87,1250,838,200.0,0.0,220.0,35.0,352.0,23.2,0.0,180.0,64.0,10.0,190.0,11.0,12.0,5.84
282.0,Kutchch,Kharoi,23.47229,68.68397,7.61,5362,3593,1120.0,0.0,525.0,1525.0,58.0,3.2,0.12,430.0,200.0,151.0,700.0,20.0,13.0,9.09
283.0,Kutchch,Naliya,23.2594,68.83056,8.33,1610,1079,175.0,15.0,635.0,156.0,37.0,13.2,1.0,545.0,50.0,12.0,288.0,2.6,19.0,9.47
284.0,Kutchch,Tera,23.28303,68.94035,7.73,2550,1709,380.0,0.0,635.0,461.0,66.0,34.2,3.9,520.0,64.0,54.0,406.0,7.9,21.0,9.06
285.0,Kutchch,Mothala,23.20307,69.13545,7.55,5017,3361,1120.0,0.0,256.0,1560.0,75.0,5.4,0.45,210.0,204.0,148.0,626.0,3.2,26.0,8.13
286.0,Kutchch,Vinjhan,23.10469,69.02678,7.58,1225,821,390.0,0.0,378.0,43.0,229.0,2.6,0.45,310.0,76.0,49.0,96.0,5.9,20.0,2.11
287.0,Kutchch,Kotaya,23.04451,69.07902,7.56,2000,1340,290.0,0.0,500.0,255.0,198.0,46.0,2.7,410.0,60.0,34.0,322.0,1.6,31.0,8.22
288.0,Kutchch,Bambhdai,22.94148,69.08258,7.63,8660,5802,1100.0,0.0,366.0,2752.0,80.0,9.2,1.0,300.0,196.0,148.0,1474.0,8.0,20.0,19.32
289.0,Kutchch,Kotadi,23.04659,69.19384,7.86,2100,1407,180.0,0.0,537.0,163.0,351.0,11.2,3.55,440.0,24.0,29.0,390.0,5.1,27.0,12.64
290.0,Kutchch,Mau Moti,23.10103,69.29059,7.55,1612,1080,410.0,0.0,195.0,184.0,329.0,56.8,0.95,160.0,84.0,49.0,182.0,4.8,33.0,3.91
291.0,Kutchch,Mandvi,22.84286,69.32740,7.74,650,436,230.0,0.0,220.0,28.0,88.0,7.6,0.12,180.0,48.0,27.0,40.0,5.6,10.0,1.15
292.0,Kutchch,Asambia  Mota,22.96548,69.43888,7.51,2550,1709,300.0,0.0,366.0,461.0,294.0,7.0,0.13,300.0,80.0,24.0,450.0,4.5,16.0,11.3
293.0,Kutchch,Dhunai,23.05806,69.50183,7.11,1505,1008,310.0,0.0,317.0,163.0,245.0,20.2,0.72,260.0,88.0,22.0,206.0,2.7,87.0,5.09
294.0,Kutchch,Karagoga,22.93808,69.66175,7.85,4999,3349,260.0,0.0,1037.0,901.0,349.0,18.2,1.75,850.0,48.0,34.0,1030.0,2.7,36.0,27.77
295.0,Kutchch,Luni,22.87277,69.80994,7.67,3052,2045,440.0,0.0,415.0,738.0,132.0,15.4,0.32,340.0,80.0,58.0,496.0,9.4,21.0,10.28
296.0,Kutchch,Vadala,22.91678,69.85413,7.6,5787,3877,790.0,0.0,866.0,1177.0,360.0,170.6,1.0,710.0,148.0,102.0,936.0,36.0,31.0,14.48
297.0,Kutchch,Bhadeshwar,22.91277,69.89732,7.71,1304,874,410.0,0.0,183.0,269.0,109.0,21.8,0.16,150.0,84.0,49.0,106.0,13.0,27.0,2.28
298.0,Kutchch,Shinaya,23.03956,70.06257,7.94,4925,3300,350.0,0.0,329.0,940.0,818.0,6.4,0.67,270.0,124.0,10.0,972.0,4.3,28.0,22.59
299.0,Kutchch,Samakhiali,23.30665,70.50414,7.56,5000,3350,910.0,0.0,573.0,1347.0,34.0,71.6,2.6,470.0,112.0,153.0,716.0,14.0,25.0,10.32
300.0,Mahisagar,Balasinor,22.94809,73.32546,7.65,727,487,250.0,0.0,244.0,99.0,35.0,6.2,0.5,200.0,92.0,5.0,56.0,7.7,24.0,1.54
301.0,Mahisagar,Juna vasadra,23.07433,73.37466,8.33,789,529,280.0,36.0,317.0,50.0,35.0,3.2,0.41,320.0,64.0,29.0,72.0,1.4,87.0,1.87
302.0,Mahisagar,Bar,23.17292,73.42830,8.01,711,476,240.0,0.0,195.0,92.0,45.0,35.0,0.56,160.0,56.0,24.0,61.0,5.3,29.0,1.71
303.0,Mahisagar,Limbadia peti,23.22965,73.59100,8.08,736,493,240.0,0.0,317.0,57.0,37.0,7.9,1.0,260.0,32.0,39.0,74.0,1.3,35.0,2.08
304.0,Mahisagar,Pandarvada,23.35802,73.61470,8.47,567,380,150.0,24.0,207.0,71.0,2.0,0.0,0.61,210.0,20.0,24.0,70.0,0.45,8.0,2.48
305.0,Mahisagar,Khanpur,23.28778,73.67848,8.18,636,426,200.0,0.0,159.0,92.0,38.0,38.0,0.49,130.0,32.0,29.0,65.0,0.84,43.0,2.0
