"","","","","","","","","","","","","","","","","",""
"Rajkot","khamta","","8.09","881 590","","0","207","391","13 89","","0.25","170","144","5","380","208","3.1"
"Rajkot","Khirsara-1","","7.92","1102
1020","","0","37","412","68 81","","0.10","30","140","0","350","188","3.4"
"Rajkot","Kolithad 1","","8.09","1522","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TABLE 6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","36","13","17","0.50","270","76","0","190","74","",""
"Rajkot","Lalavadar","8.25","696","466","0","329","36
305","11","42","0.42","190","108","15","330","161","7.2",""
"Rajkot","Macchukunda","8.22","1360","911","0
0","232
293","128","7","5","0.47","240","64","15","230","87","17.3",""
"Rajkot","Malia","8.14","846","567","0","220","1392","42","592","0.55","180","272","146","1280","709","12.7",""
"Rajkot","Modpar-1","7.66","5564","3728","0
0","500","369","25","157","1.70","410","104","44","440","315","3.3",""
"Rajkot","Morvi","8.03","2251","1508","0","103","121","75","80","0.49","84","76","15","250","70","1.6",""
"Rajkot","Mota dadwa","8.02","826","553","0","500","937","6","254","1.48","410","88","39","380","755","3.4",""
"Rajkot","Mota dhansura","8.09","4106","2751","0","500","50","8","8","0,95","250","40","12","160","82","1.9",""
"Rajkot","Motagundala","8.28","628","421","0","305","50
881","110","216","0.35","150","264","102","1080","296","207.0",""
"Rajkot","Movaiya","8.10","3423","2293","0","183
146","51","7","14","0.28","120","48","5","140","34","1.9",""
"Rajkot","Neknam","8.21","371","249","0
0","427","334","35","15","1.40","350","40","29","220","301","1.6",""
"Rajkot","Nichi mandal","8.04","1730","1159","","329","1235","66","581","0.65","270","188","73","1020","770","1.9",""
"Rajkot","Padadhari","8.01","5319","3564","0","134","1434","180","197","0.32","110","432","210","1940","262","0.6",""
"Rajkot","Patanvav","7.58","4987","3341","0","305","170","19","80","0.26","250","128","17","390","93","7.7",""
"Rajkot","Rajkot1","8.44","1181","791","0
0","134","483","36","160","0.20","110","208","7","550","205","1.2",""
"Rajkot","Ribda","8.22","1990","1333","","506","213","7","10","0.35","595","64","19","240","273","65.3",""
"Rajkot","Sardhar2","8.48","1733","1161","108
0","122","64","3","6","0.26","100","48","5","140","28","2.0",""
"Rajkot","Sarvad","8.28","315","211","0","281","540","135","46","0.60","230","208","63","780","175","1.9",""
"Rajkot","Sayapar","7.90","2323","1556","0
0","415","497","72","97","0.46","340","64","24","260","437","0.5",""
"Rajkot","Sindhavadar","8.28","2374","1591","0","342","327","70","76","0.20","280","140","63","610","126","0.4",""
"Rajkot","Targhari","8.21","1763","1181","0","134","369","120","14","0.17","110","164","24","510","110","1.2",""
"Rajkot","Umarali","7.75","1509","1011","0","61","1505","130","286","0,25","50","672","0","1680","425","3.9",""
"Rajkot","Upleta1","7.68","5215","3494","0","451","710","40","108","1.25","370","88","39","380","530","2.0",""
"Rajkot","Vinchhia","8.07","3077","2062","0","610","625","65","23","0,94","500","80","0","200","585","1.6",""
"Rajkot","Viranagar","8.17","2923","1958","0","317","440","136","50","0.40","260","128","54","540","235","18.1",""
"Rajkot","Virpur-1","8.01","2209","1480","84","305","185","25","24","0.42","390","80","46","390","143","9.2",""
"Rajkot","Wankaner","8.40","1296","868","84
0","476","92","30","35","0.68","390","84","41","380","94","2.5",""
"Sabarkantha","Alwakampa","7.90","1093","732","0
0","195","120","30","46","0.26","160","84","22","300","48","4.5",""
"Sabarkantha","Atarsumba","8.21","827","554","0
84","171","425","64","6","1.70","280","44","58","350","276","5.1",""
"Sabarkantha","Bhadreshwar1","8.81","2038","1365","84","512","567","90","1","0.60","420","340","12","900","270","1.4",""
"Sabarkantha","Boral","7.88","2822","1891","0","122","674","95","283","0,34","100","340","36","1000","200","0.9",""
"Sabarkantha","Boriya","7.18","2773","1858","0","122","432","86","18","0.87","100","84","60","460","160","4.7",""
"Sabarkantha","Chandav","8.28","1774","1189","0","110","383","210","83","0.80","90","212","53","750","67","2.1",""
"Sabarkantha","Choriwad","8.07","1800","1206","0","573","149","29","16","0,65","470","128","60","570","71","1.8",""
"Sabarkantha","Dhansura1","8.01","1376","922","0
0","159","248","175","107","0.90","130","72","74","490","115","1.7",""
"Sabarkantha","Gadada","8.28","1410","945","48","122","603","120","247","1.70","180","160","60","650","345","1.7",""
"Sabarkantha","Gadha1","8,53","2703","1811","132","195","92","74","54","1.65","380","92","2","240","180","1.7",""
"Sabarkantha","Harsolt","8.85","1192","799","0","659","277","13","34","3.00","540","96","36","390","276","6.6",""
"Sabarkantha","Idar","8.26","1870","1253","0","256","64","22","28","0.86","210","76","7","220","60","0.8",""
"Sabarkantha","Karanpur","7.82","625","419","0","110","220","140","61","0.55","90","116","38","450","61","4.6",""
"Sabarkantha","Kesharpur","8.15","1179","790","132","170","99","48","63","3.00","359","76","2","200","190","0.6",""
"Sabarkantha","Kesharpur Idar","8.94","1183","793","132","","886","140","243","0.94","70","400","96","1400","140","2.1",""
"Sabarkantha","Khedbramha","7.87","3253","2180","0","85
281","142","85","24","0.86","230","100","22","340","87","0.6",""
"Sabarkantha","Malpur","7.79","1024","686","0 0","159","199","105","6","0.30","130","60","12","200","141","32.0",""
"Sabarkantha","Mathasliya","8.29","1073","719","0","97","503","140","69","0.22","80","128","94","710","126","23.0",""
"Sabarkantha","Matoda","8.19","2100","1407","0","256","113","41","71","0.80","210","68","24","270","97","1.9",""
"Sabarkantha","Medasana","8.14","856","574
702","0","146","149","90","137","0.46","120","116","17","360","87","0.8",""
"Sabarkantha","Modasa2","7.96","1048","702","96","207","234","22","32","0.93","330","80","53","420","137","7.0",""
"Sabarkantha","Poshina2","8.56","1440","965","48","24","78","44","48","0.40","100","56","10","180","54","0.3",""
"Sabarkantha","Punasan","8.49","585","392","84","159","886","18","16","0,90","270","200","48","700","400","21.0",""
"Sabarkantha","Ramgarh","8.60","3183","2133","60","12","510","26","97","0.71","110","40","50","310","300","11.1",""
"Sabarkantha","Ratanpur2","8.56","2000","1340","","268","241","170","92","0.99","220","160","43","580","101","2.6",""
"Sabarkantha","Revas","7.56","1600","1072","","134","85","38","60","2.96","230","104","14","320","61","3.4",""
"Sabarkantha","Sabalwad","8.68","880","590","72","232","64","","5 25","0.58","190","64","14","220","43","1.7",""
"Sabarkantha","Sathamba","8.1","606","406","","0 171","326","100","142","0.61","140","136","46","530","141","3.6",""
"Sabarkantha","Seenawad","7.79","1641","1099","","171","42","16","10","0.34","200","72","12","230","25","4.3",""
"Sabarkantha","Shamlaji","8.48","515","345","36 36","134","432","66","23","0,60","170","44","62","370","228","1.7",""
"Sabarkantha","Takatuka","8.57","1700","1139","60","232","206","48","29","1.60","290","14","38","260","183","0.9",""
"Sabarkantha","Umedpur","8.64","1303","873","","171","50","","3 40","0.18","140","76","","2 200","26","4.8",""
"Sabarkantha","Vijaynagar1","8.28","460","308","","159","35","35","11","0.67","130","52","","2 170","24","0.4",""
"Sabarkantha","Virpur2","8.28","395","265","","0","191","145","18","1.20","170","88","24","320","120","4.3",""
"Sabarkantha","Wadali","8.23","1196","801","","0 488","107","24","-17","0.20","400","44","54","340","99","23.4",""
"Surat","","0 8.25","1155","774","","0 586","1775","40","324","0.30","480","240","61","850","1167","6.2",""
"Surat","Anita","8.12","6003","4022","","0 366","99","37","37 10","0.62","300","","88","310","48","63.1",""
"Surat","Arda-boratha","7.57","960","643","","0 256","","28","24 12","0.77","210","","24","36 210","34","0.7",""
"Surat","Bagumda","8.00","583","391","","0","206","","18 33","0.66","380","","72","80 510","99","0.2",""
"Surat","Bedchiet","7.83","1436","962","","0 366","","78","0 15","1.33","300","","44","34 250","83","1.5",""
"Surat","Bhatkol","8.17","850","570","","0","114","","7 12","0.38","370","","64","29 280","125","7.1",""
"Surat","Bhurvel (ukai)","7.88","1082","725","","0
0","","28","4 4","0,47","180","","40","22 190","18","18","1.0"
"Surat","Chavada","7.85","450","302","","0","","36","29 17","0.9","420","","12","44 210","140","","0.8"
"Surat","Digas","8.22","1024","686","","0","199","","13 45","1.31","520","108","","68 550","145","","4.0"
"Surat","Dungri","8.22","1670","1119","","0","","21","2 14","0.32","320","","36","34 230","","63","0.8"
"Surat","Jesingpura[sg]","7.88","723","484","","0","270","","46 4","0.32","130","120","","10 340","105","","1.4"
"Surat","Juna umarpada","7.68","1195","801","","0
0","","71","20 33","0.20","340","104","","24 360","","61","1.8"
"Surat","Kadod-1","7.91","976","654","","0","","11","0 34","0.37","160","","52","15 190","","10","0.5"
"Surat","Kalkui","8.21","413","277","","207","","28","0 16","0.20","170","","56","12 190","","17","1.9"
"Surat","Karanjvel","8.14","393","263","","0","","135","14 36","0.55","450","","16","83 380","144","","0.8"
"Surat","Kathor","7.78","1379","924","","0
0","","78","3 10","0.47","200","","68","22 260","","30","0.7"
"Surat","Katra deeh","7.91","654","438","","0","","28","9 26","0.50","250","","56","15 210","","53","0.5"
"Surat","Kherwa(Vadali)","7.92","620","415","","0
0","586","71","7 22","1.15","480","","84","58 450","","75","2.8"
"Surat","Madhi (New)","8.16","1132","758","","0","329","178","2 130","0.23","270","","116","56 520","","65","0.5"
"","Madhi-1","7.79","1357","909","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TABLE 7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","622","142","23","5","0.53","510","72","92","560","76","18.4",""
"Surat","Malda","7.76","1484","994","0","366","121","55","32","0.50","300","80","49","400","70","0.5",""
"Surat","Mandvi2","7.82","1096","734","0","366
671","540","16","70","1.25","550","48","68","400","465","1.9",""
"Surat","Mota","8.01","2812","1884","0
0","305","57","26","18","0.33","250","24","39","220","70","0.4",""
"Surat","Moti Sarkui","7.79","720","482","0
0","244","28","25","13","0.35","200","48","27","236","18","0.2",""
"Surat","Motichher","7.91","512","343","0","659","483","11","28","1.15","540","48","63","380","410","13.0",""
"Surat","Navi Pardi","7.96","2521","1689","0","317","21","17","129","0.45","260","68","7","280","73","0.2",""
"Surat","Nesharpur","8.11","445","298","0","647","121","36","8","0.7","530","96","61","490","106","18.7",""
"Surat","Nizar1","7.57","1454","974","0","378","99","23","53","0.23","310","84","41","380","67","3.6",""
"Surat","Nogama","7.86","1044","699","0","549","185","60","25","0.3","450","28","27","180","242","72.1",""
"Surat","Olpad2","8.28","1584","1061","0","488","107","2","5","0.44","400","32","22","170","180","11.7",""
"Surat","Palsana","8.08","1114","746","0
0","232","433","15","131","0.38","190","176","71","730","105","0.6",""
"Surat","Paneshwar","7.85","1922","1288","0","378","43","27","14","0.32","310","40","32","230","82","1.6",""
"Surat","Paniwara","7.79","809","542","0","537","128","36","18","0.75","440","60","71","440","107","0.9",""
"Surat","Puna-1","7.91","1273","853","0
0","293","966","0","172","0.10","240","192","97","880","423","5.8",""
"Surat","Sachin towan","7.62","3660","2452","0","500","99","13","17","2.70","410","20","36","200","178","1.7",""
"Surat","Sarbhon","8.04","1141","764
548","0","293","107","1","9","0.35","240","76","27","300","48","6.1",""
"Surat","Surat city","8.26","818","548","","439","376","33","16","0.23","360","92","90","600","157","0.8",""
"Surat","Syan","8.15","1870","1253","0","305","28","10","26","0.65","250","28","41","240","40","0.3",""
"Surat","Ten-Bardoli","7.97","650","436","0
0","305","57","36","14","0.31","250","56","27","250","58","0,0",""
"Surat","Tokarwa 1","7.79","747","500","0","366","64","39","22","0.32","300","44","44","290","72","0.4",""
"Surat","Uchchhal1","7.64","881","590","0","293","43","19","18","0.45","240","60","19","230","49","1.8",""
"Surat","Ushker","7.9","667","447","","268","50","12","19","0.27","220","68","27","230","42","0.3",""
"Surat","Vaheval","8.00","571","383","0","415","50","0","45","2.2","340","44","44","290","80","0.3",""
"Surat","Valod","8.29","841","563","0
0","427","1953","50","87","0.32","350","560","49","1600","769","63.7",""
"Surat","Velachha","7.71","6201","4155","0","305","36","10","19","0.45","250","24","15","120","97","0.3",""
"Surat","Vyara1","7.94","654","438","0","366","540","18","27","1.05","300","84","78","530","270","1.8",""
"Surat","Warod","8.05","2237","1499","0","48","281","241","22","0.60","39","64","19","240","193","16.0",""
"Surendranagar","Adriyana","8.71","1360","911","0
0","195","57","4","48","0.82","160","60","2","160","63","4.8",""
"Surendranagar","Bajana","8.07","598","401","0","342","92","70","18","0.77","280","96","2","250","110","1.7",""
"Surendranagar","Bamanbor","7.93","971","651","0
0","317","710","3","175","0.10","260","40","0","100","625","5.2",""
"Surendranagar","Dasada-1","8.76","2937","1968","0","415","767","50","98","1.49","340","128","68","600","452","15.7",""
"Surendranagar","Halvad2","8.22","3194","2140","0","294","178","22","95","0.60","241","60","12","200","190","12.6",""
"Surendranagar","Jhinjhuwada","8.66","1116","748","0","405","951","4","260","0.22","332","56","14","200","812","7.1",""
"Surendranagar","Kharaghoda","8.28","3904","2616","0","305","128","16","50","0.35","250","72","14","240","119","7.0",""
"Surendranagar","Kherwa","8.19","949","636","0","390","263","6","73","2.2","320","92","32","260","240","17.1",""
"Surendranagar","Lakhtar","7.85","1606","1076","0","281","348","17","76","1.35","230","64","29","280","250","2.4",""
"Surendranagar","Latuda","8.14","1676","1123","","378","1377","105","402","1.30","310","208","107","960","839","4.9",""
"Surendranagar","Mathak","8.16","5578","3737","0 0","293","866","180","295","1.49","240","136","78","660","586","4.6",""
"Surendranagar","Miani","8.10","3891","2607","","220","1562","180","164","0.60","180","344","360","2340","179","0.7",""
"Surendranagar","Moti Moladi","7.53","5452","3653","0 0","500","426","46","258","2.90","410","64","5","180","530","1.1",""
"Surendranagar","Muli","8.48","2537","1700","0","183","14","1","8","0.25","150","40","7","130","23","2.4",""
"Surendranagar","Pipli","8.26","285","191","","476","497","125","103","1.42","390","96","29","360","438","5.7",""
"Surendranagar","Rajsitapur","8.27","2652","1777","","183","14","3","7","0.45","150","24","22","150","14","2.7",""
"Surendranagar","Ranipet","8.10","319","214","","403","369","11","48","1.45","330","64","27","270","299","2.5",""
"Surendranagar","Sara","8.13","1834","1229","","317","596","20","214","1.04","260","80","58","440","420","2.8",""
"Surendranagar","Sarla","8.07","2696","1806","","244","78","","2 8","0.33","200","48","","0 120","93","5.6",""
"Surendranagar","Shiyani","8.02","597","400","","268","1051","320","160","0.45","220","408","63","1280","399","2.9",""
"Surendranagar","Sudamda","7.52","4295","2878","","574","525","170","98","1.5","470","96","49","440","471","2.0",""
"Surendranagar","Sukhpar1","8.28","2963","1985","","0 171","320","65","85","1.4","140","80","34","340","185","2.5",""
"Surendranagar","Surendranagar2","8.10","1488","997","","0 195","263","36","20","1.25","160","36","","2 100","225","7.6",""
"Surendranagar","Tavi1","7.65","1184","793","","0 427","639","70","105","0.9","350","96","44","420","465","19.5",""
"Surendranagar","Visawadi","8.17","2949","1976","","0","149","21","12","0.75","400","76","19","270","147","34.2",""
"Surendranagar","Warod","8.03","1189","797","","0 171","36","19","3","0.05","140","44","","5 130","37","0.3",""
"The Dangs","Aherdi","8.16","302","202","","0 317","128","18","31","0.1","260","80","29","320","78","12.0",""
"The dangs","Ahwa1","8.08","1045","700","","195 0","21","","19 13","0.24","160","44","","10 150","32","0.2",""
"The Dangs","Amba Pada","8.13","304","204","","0 342","","28","5 8","0,44","280","44","41","280","","25 0.2",""
"The Dangs","Bandi pada","7.79","667","447","","0 183","71","125","15","0.20","150","","84","15 270","","30 32.8",""
"The Dangs","Bhansh kathari","8.22","729","488","","0","","28","28 12","0.15","170","","64","180 5","","30 0.9",""
"The dangs","Bori gaotha","8.21","449","301","","0","","28","27 15","0.20","120","","52","5 150","","22",""
"The dangs","Bori pada","8.17","385","258","","0","","14","19 13","0.05","150","","52","2 140","","27 0.2",""
"The dangs","Chikhli","8.17","386","259
399","","0","98","64 170","6","0.20","","80","68","19 250","","30","0.8"
"The Dangs","Chinch pada","8.01","596","399","","0","","50","62 11","0.20","180","","80","5 220","","43","1.2"
"The dangs","Chinchnogaotha","8.19","606","406","","0","","14","20 24","0.20","160","","40","19 180","","19","0.1"
"The dangs","Dhumkal","8.18","342","229","","0","","21","6 6","0.10","150","","56","2 150","","19","0.8"
"The Dangs","Gadad (New)","8.24","371","249","","0","","21","21 18","0.15","170","","56","12","190","21","0,8"
"The dangs","Ghubita","8.18","418","280
358","","0","183","36","76 16","0.28","150","","76","15","","14","0.7"
"The dangs","Jakana","8.07","534","358","","0","122","57 125","6","0,60","100","","72","19","210","37","0.2"
"The Dangs","Jamal pada","7.99","579","388","","","183","36","31 29","0.46","150","","64","5","180","36","0.6"
"The Dangs","Kalam khan","8.24","519","348","","0","171","43","27 0","0.28","140","","44","15","170","25","1.0"
"The dangs","Malegaon","8.11","356","239","","0","256","21","5 5","0.25","210","","56","2","150","46","0.8"
"The dangs","Nadak khadi","8.23","483","324","","0","220","14","19 9","0.07","","180","52","12","160","30","0.3"
"The dangs","Nana pada","8.17","352","236","","0","159","21","22 19","","0.20","130","36","12","140","27","0.8"
"The Dangs","Pipri","8.09","269","180","","0","171","28","22 33","","0.06","140","48","15","180","24","0.5"
"The Dangs","Sakar patar","8.18","","224","","0","162","14","22 21","","0.25","133","14","2","110","38","0.6"
"The Dangs","Sarvan","8.18","8.18","155","","0","159","21","20 20","","0.30","130","52","5","150","22","0.4"
"The dangs","Sodmal","","8.25","252","","0","195","28","28 10","","0.14","160","52","15","190","20","0.8"
"The dangs","Subir","","8.02","275","","","207","28","29 19","","0.12","170","52","19","210","20","0.3"
"The dangs","Umberpada","","8.12","406 272","","0
0","171","36","25 27","","0.25","140","56","12","190","23","0.3"
"The Dangs","Vazat Amba","","8.21","278","","0","183","36","20 30","","0.15","150","52","15","190","27","1.0"
"The Dangs","Waghach","","8.14","394 264","","0","451","135","29 44","","1.25","370","48","49","320","145","3.4"
"Vadodara","Alladpur","","7.84 1104","740","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TABLE 8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Vadodara","Amreshwar","7.93","3629","2431","0","488","994","15","45","0.65","400","160","85","750","520","12.7",""
"Vadodara","Baladgam","8.11","1165","781","0","476","177","31","53","1.20","390","104","46","450","127","2.0",""
"Vadodara","Bhindol","8.27","1662","1114","0","1000","128","11","62","2.70","820","36","51","300","360","1.6",""
"Vadodara","Bodeli","7.67","1609","1078","0","207","305","48","60","1.15","170","144","24","460","115","2.6",""
"Vadodara","Chhaliyar","8.19","810","543","0","439","35","24","18","0.95","360","60","34","290","74","0.7",""
"Vadodara","Chhota udepur","7.65","2042","1368","0","281","447","4","38","0.30","230","92","36","380","245","0.6",""
"Vadodara","Dewat","8.00","668","448","0","329","21","130","50","0.70","270","80","24","300","73","0.4",""
"Vadodara","Ferkuva","8.06","1087","728","0","317","99","41","65","0.35","260","128","29","440","29","7.6",""
"Vadodara","Ghamodi","7.97","390","261","0","207","28","14","10","1.30","170","40","7","130","48","2.6",""
"Vadodara","Govindpura","7.63","5417","3629","0","476","1313","12","149","2.55","390","200","195","1300","523","5.8",""
"Vadodara","Juna samalya","8.23","1579","1058","0","415","284","17","17","0.70","340","40","46","290","225","0.6",""
"Vadodara","Kevadi","7.75","513","344","0","293","50","22","3","1.45","240","72","0","180","72","12.7",""
"Vadodara","Kevdabagh","8.13","1361","912","0","610","163","6","76","1.35","500","20","10","140","313","9.7",""
"Vadodara","Makni","8.08","1486","996","0","537","163","140","30","0.65","440","140","44","530","133","5.3",""
"Vadodara","Odd","8.13","368","247","0","232","35","12","3","1.05","190","56","0","140","53","1.4",""
"Vadodara","ONGC Campus","8.38","2703","1811","96","708","476","8","48","1.40","740","24","34","200","589","3.7",""
"Vadodara","Pavi","8.13","2517","1686","0","573","504","12","51","1.30","470","120","56","530","334","6.9",""
"Vadodara","Pitha","7.98","1148","769","0","122","149","60","219","1.20","100","44","68","390","93","2.5",""
"Vadodara","Renda","7.83","736","493","0","354","57","80","10","0.50","290","68","39","330","54","0.4",""
"Vadodara","Sadli","7.82","910","610","0","293","142","34","37","0.60","240","108","39","430","37","3.7",""
"Vadodara","Saidal","7.89","4211","2821","0","988","994","10","62","0.90","810","220","207","1400","416","58.1",""
"Vadodara","Sengpur","8.05","871","584","0","464","71","8","29","0.70","380","148","0","370","69","2.2",""
"Vadodara","Tejgadh","7.86","541","362","0","256","21","20","13","1.75","210","68","7","200","34","0.7",""
"Vadodara","Tundav","7.88","2029","1359","0","586","284","230","101","0.50","480","68","100","580","275","15.3",""
"Vadodara","Vejpur2","8.60","3095","2074","156","366","603","11","153","1.40","560","180","12","500","503","8.2",""
"Vadodara","Waghach","8.15","1009","676","0","317","227","30","43","1.20","260","60","12","200","210","1.6",""
"Valsad","Amba Talat","7.84","549","368","0","268","28","2","17","0.46","220","44","29","230","23","0.3",""
"Valsad","Awadha","7.92","542","363","0","268","36","2","7","0.33","220","44","27","220","28","0.2",""
"Valsad","Chavshala","7.94","508","340","0","195","36","3","32","0.20","160","16","7","180","31","3.3",""
"Valsad","Dahli (bhilad)","8.10","552","370","0","244","50","6","7","0.35","200","48","15","180","48","1.4",""
"Valsad","Dharampur3","7.83","603","404","0","220","50","2","39","0,47","180","56","27","230","30","0.2",""
"Valsad","Huda","7.60","465","20","0","207","28","18","10","0.35","170","56","0","140","42","13.3",""
"Valsad","Kanadu","8.17","465","312","0","220","28","1","9","0,44","180","52","12","180","24","0.4",""
"Valsad","Kaparda","7.99","365","245","0","134","36","2","15","0.12","110","40","5","120","27","2.7",""
"Valsad","Karwad","8.05","890","596","0","390","71","0","25","0.12","320","60","36","300","68","10.5",""
"Valsad","Lakadmal","7.95","475","318","0","195","50","2","2","0.25","160","52","10","170","30","0.8",""
"Valsad","Mandva","7.97","497","333","0","220","36","8","11","0.15","180","80","5","220","14","1.2",""
"Valsad","Muli1","8.00","2737","1834","0","366","554","4","260","0.15","300","80","54","420","435","2.7",""
"Valsad","Nana ponda","8.04","1302","872","0","378","185","3","71","0.50","310","112","41","450","93","1.3",""
"Valsad","Tithal","7.82","2131","1428","0","708","327","8","25","0.26","580","96","61","490","253","28.2",""
"Valsad","Tumb","8.00","765","513","0","366","57","2","6","0.62","300","32","41","250","65","0.9",""
"Valsad","Udwada","7.79","931","624","0","317","92","21","52","0.40","260","68","36","320","66","0.7",""
"Valsad","umargaon","7.98","1100","737","0","354","149","15","30","0.20","290","56","49","340","95","6.7",""
"Valsad","Vapi (Balitha)","8.03","617","413","0","207","78","8","18","0.25","170","60","17","220","40","0.9",""
"Valsad","Wankal","8.23","670","449","0","317","28","0","32","0.50","260","44","22","200","62","0.9",""
